Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 10 points
1.0, 0.7293294335267746, 0.7376327057627562
2.0, 0.4725265416668987, 0.4669621392895308
3.0, 0.3300283304311115, 0.32789691342849775
4.0, 0.24958067171512185, 0.25092804396798224
5.0, 0.19994552008428504, 0.20367324188238486
6.0, 0.1666594984189211, 0.17201870739277836
7.0, 0.14285619253860674, 0.14938725974356223
8.0, 0.12499987339792844, 0.13241076365613336
9.0, 0.1111110941889114, 0.11920642212973408
10.0, 0.09999999773273102, 0.10864289408068757
