Radial distance r (atomic units), theoretical hydrogen ground state wavefunction (atomic units), calculated hydrogen ground state wavefunction (atomic units) with 10000 points
0.001, 0.5636256759649922, 0.5636298449928541
0.002, 0.5630623320079511, 0.5630664969623004
0.003, 0.5624995511132889, 0.5625037119978253
0.004, 0.5619373327182247, 0.5619414895366452
0.005, 0.56137567626054, 0.5613798290165443
0.006, 0.5608145811785783, 0.5608187298758546
0.007, 0.5602540469112446, 0.5602581915534791
0.008, 0.5596940728980044, 0.5596982134888846
0.009000000000000001, 0.5591346585788839, 0.5591387951220901
0.01, 0.5585758033944684, 0.5585799358936812
0.011, 0.558017506785903, 0.5580216352447952
0.012, 0.5574597681948908, 0.5574638926171391
0.013000000000000001, 0.5569025870636933, 0.5569067074529617
0.014, 0.5563459628351292, 0.5563500791950841
0.015, 0.5557898949525744, 0.5557940072868783
0.016, 0.5552343828599607, 0.5552384911722708
0.017, 0.5546794260017763, 0.5546835302957511
0.018000000000000002, 0.5541250238230641, 0.554129124102354
0.019, 0.5535711757694218, 0.5535752720376771
0.02, 0.5530178812870015, 0.5530219735478671
0.021, 0.5524651398225086, 0.5524692280796266
0.022, 0.5519129508232015, 0.5519170350802108
0.023, 0.5513613137368911, 0.551365393997429
0.024, 0.5508102280119405, 0.5508143042796357
0.025, 0.5502596930972637, 0.5502637653757487
0.026000000000000002, 0.5497097084423261, 0.5497137767352247
0.027, 0.5491602734971426, 0.5491643378080786
0.028, 0.5486113877122784, 0.5486154480448688
0.029, 0.5480630505388475, 0.5480671068967106
0.03, 0.5475152614285129, 0.5475193138152614
0.031, 0.5469680198334854, 0.5469720682527273
0.032, 0.5464213252065233, 0.5464253696618673
0.033, 0.5458751770009319, 0.5458792174959827
0.034, 0.5453295746705631, 0.5453336112089154
0.035, 0.5447845176698143, 0.5447885502550671
0.036000000000000004, 0.5442400054536286, 0.5442440340893755
0.037, 0.5436960374774937, 0.5437000621673234
0.038, 0.5431526131974416, 0.5431566339449384
0.039, 0.5426097320700479, 0.542613748878796
0.04, 0.5420673935524315, 0.5420714064260126
0.041, 0.5415255971022539, 0.5415296060442475
0.042, 0.5409843421777185, 0.5409883471916979
0.043000000000000003, 0.5404436282375703, 0.5404476293271021
0.044, 0.5399034547410955, 0.5399074519097496
0.045, 0.5393638211481203, 0.5393678143994601
0.046, 0.5388247269190113, 0.5388287162566001
0.047, 0.5382861715146741, 0.5382901569420707
0.048, 0.5377481543965532, 0.5377521359173113
0.049, 0.5372106750266316, 0.5372146526443027
0.05, 0.5366737328674297, 0.5366777065855617
0.051000000000000004, 0.5361373273820055, 0.536141297204142
0.052000000000000005, 0.5356014580339532, 0.5356054239636369
0.053, 0.5350661242874037, 0.5350700863281769
0.054, 0.5345313256070231, 0.5345352837624217
0.055, 0.5339970614580125, 0.534001015731563
0.056, 0.533463331306108, 0.5334672817013442
0.057, 0.5329301346175792, 0.5329340811380243
0.058, 0.5323974708592295, 0.532401413508409
0.059000000000000004, 0.5318653394983949, 0.5318692782798276
0.06, 0.5313337400029442, 0.5313376749201447
0.061, 0.5308026718412777, 0.5308066028977623
0.062, 0.5302721344823274, 0.5302760616816049
0.063, 0.5297421273955557, 0.5297460507411341
