Radial distance r (a.u.), Calculated helium wavefunction
0.01, 1.3141726130787124
0.02, 1.2882314716619405
0.03, 1.2628552235688137
0.04, 1.2380314256715572
0.05, 1.213747826863947
0.06, 1.1899923741006289
0.07, 1.1667532173891542
0.08, 1.1440187138293332
0.09, 1.1217774307870754
0.1, 1.1000181482832971
0.11, 1.0787298606721263
0.12, 1.057901777676914
0.13, 1.0375233248470566
0.14, 1.0175841434936492
0.15, 0.9980740901573819
0.16, 0.978983235657636
0.17, 0.9603018637678793
0.18, 0.9420204695586207
0.19, 0.9241297574458653
0.2, 0.9066206389796797
0.21, 0.8894842304047016
0.22, 0.8727118500215933
0.23, 0.8562950153759492
0.24, 0.8402254402988822
0.25, 0.8244950318213373
0.26, 0.8090958869822388
0.27, 0.7940202895486982
0.28, 0.7792607066649041
0.29, 0.7648097854447133
0.3, 0.7506603495215974
0.31, 0.7368053955682103
0.32, 0.723238089796721
0.33, 0.709951764449912
0.34, 0.6969399142919944
0.35000000000000003, 0.6841961931072605
0.36, 0.67171441021372
0.37, 0.6594885269981594
0.38, 0.6475126534783394
0.39, 0.6357810448973551
0.4, 0.6242880983546013
0.41000000000000003, 0.6130283494772731
0.42, 0.6019964691357528
0.43, 0.5911872602058361
0.44, 0.5805956543803477
0.45, 0.570216709032231
0.46, 0.5600456041309774
0.47000000000000003, 0.5500776392138129
0.48, 0.5403082304128911
0.49, 0.530732907539421
0.5, 0.5213473112254238
0.51, 0.5121471901236494
0.52, 0.5031283981659352
0.53, 0.4942868918801717
0.54, 0.4856187277658363
0.55, 0.4771200597279913
0.56, 0.4687871365694109
0.5700000000000001, 0.4606162995405325
0.58, 0.4526039799466892
0.59, 0.4447466968121071
0.6, 0.4370410546000252
0.61, 0.42948374098820175
0.62, 0.42207152469911463
0.63, 0.4148012533839783
0.64, 0.4076698515597883
0.65, 0.4006743185984574
0.66, 0.39381172676718124
0.67, 0.3870792193190362
0.68, 0.38047400863290987
0.6900000000000001, 0.3739933744017532
0.7000000000000001, 0.3676346618681708
0.71, 0.3613952801063836
0.72, 0.35527270034953373
0.73, 0.34926445436135606
0.74, 0.3433681328512144
0.75, 0.33758138393149445
0.76, 0.3319019116163799
0.77, 0.32632747436103116
0.78, 0.32085588364017287
0.79, 0.3154850025651456
0.8, 0.31021274453847064
0.81, 0.3050370719449729
0.8200000000000001, 0.29995599487855223
0.8300000000000001, 0.294967569903676
0.84, 0.29006989885071993
0.85, 0.28526112764423617
0.86, 0.28053944516333745
0.87, 0.27590308213328313
0.88, 0.27135031004750637
0.89, 0.26687944011920106
0.9, 0.2624888222617156
0.91, 0.25817684409695313
0.92, 0.25394192999101295
0.93, 0.249782540116335
0.9400000000000001, 0.2456971695396189
0.9500000000000001, 0.24168434733479333
0.96, 0.23774263572035118
0.97, 0.23387062922037255
0.98, 0.23006695384856207
0.99, 0.2263302663146802
1.0, 0.22265925325270988
1.01, 0.21905263047017037
1.02, 0.2155091422179681
1.03, 0.2120275604802113
1.04, 0.20860668428342016
1.05, 0.2052453390245819
1.06, 0.20194237581751626
1.07, 0.1986966708570306
1.08, 0.19550712480035654
1.09, 0.1923726621653791
1.1, 0.1892922307451789
1.11, 0.18626480103841064
1.12, 0.1832893656950875
1.1300000000000001, 0.18036493897731087
1.1400000000000001, 0.1774905562345252
1.1500000000000001, 0.17466527339288848
1.16, 0.17188816645834398
1.17, 0.16915833103301472
1.18, 0.16647488184452075
1.19, 0.16383695228787432
1.2, 0.16124369397957122
1.21, 0.15869427632354285
1.22, 0.1561878860886284
1.23, 0.1537237269972338
1.24, 0.15130101932486506
1.25, 0.1489189995102156
1.26, 0.14657691977552542
1.27, 0.14427404775690025
1.28, 0.14200966614431865
1.29, 0.1397830723310476
1.3, 0.1375935780722082
1.31, 0.13544050915221448
1.32, 0.1333232050608567
1.33, 0.13124101867776697
1.34, 0.12919331596504002
1.35, 0.12717947566777096
1.36, 0.1251988890223033
1.37, 0.1232509594719501
1.3800000000000001, 0.12133510238999128
1.3900000000000001, 0.11945074480974377
1.4000000000000001, 0.11759732516149733
1.41, 0.11577429301613394
1.42, 0.11398110883523836
1.43, 0.11221724372752397
1.44, 0.11048217921139179
1.45, 0.10877540698345972
1.46, 0.10709642869289078
1.47, 0.10544475572136543
1.48, 0.10381990896853677
1.49, 0.10222141864282214
1.5, 0.10064882405738149
1.51, 0.0991016734311429
1.52, 0.0975795236947344
1.53, 0.09608194030118869
1.54, 0.09460849704129431
1.55, 0.0931587758634603
1.56, 0.09173236669797692
1.57, 0.09032886728555396
1.58, 0.08894788301001351
1.59, 0.08758902673503598
1.6, 0.08625191864484194
1.61, 0.08493618608870714
1.62, 0.08364146342921
1.6300000000000001, 0.08236739189410644
