Radial distance r (a.u.), Calculated helium wavefunction
0.005, 1.3274977348417294
0.01, 1.314309214713411
0.015, 1.3012650988168253
0.02, 1.2883638028227846
0.025, 1.2756037537002538
0.03, 1.2629833899703211
0.035, 1.2505011619404118
0.04, 1.2381555319196718
0.045, 1.2259449744164534
0.05, 1.2138679763185918
0.055, 1.2019230370573772
0.06, 1.1901086687558293
0.065, 1.1784233963622028
0.07, 1.166865757769197
0.075, 1.1554343039196664
0.08, 1.144127598899521
0.085, 1.1329442200182618
0.09, 1.1218827578778976
0.095, 1.1109418164307452
0.1, 1.1001200130266624
0.105, 1.0894159784502755
0.11, 1.0788283569486237
0.115, 1.068355806249827
0.12, 1.0579969975730827
0.125, 1.0477506156305754
0.13, 1.0376153586216756
0.135, 1.0275899382197595
0.14, 1.01767307955222
0.145, 1.0078635211738245
0.15, 0.9981600150339752
0.155, 0.9885613264380628
0.16, 0.9790662340033726
0.165, 0.9696735296097443
0.17, 0.9603820183453687
0.17500000000000002, 0.951190518447991
0.18, 0.9420978612417582
0.185, 0.933102891070028
0.19, 0.924204465224376
0.195, 0.9154014538700176
0.2, 0.9066927399679185
0.20500000000000002, 0.8980772191937992
0.21, 0.8895537998542239
0.215, 0.8811214027999927
0.22, 0.8727789613370639
0.225, 0.8645254211351007
0.23, 0.8563597401339667
0.23500000000000001, 0.8482808884481436
0.24, 0.8402878482694217
0.245, 0.832379613767876
0.25, 0.824555190991379
0.255, 0.8168135977636969
0.26, 0.8091538635813673
0.265, 0.8015750295094582
0.27, 0.7940761480763396
0.275, 0.7866562831675638
0.28, 0.7793145099189909
0.28500000000000003, 0.7720499146092282
0.29, 0.7648615945515339
0.295, 0.7577486579852011
0.3, 0.7507102239666168
0.305, 0.74374542225995
0.31, 0.7368533932276952
0.315, 0.7300332877210023
0.32, 0.7232842669699858
0.325, 0.7166055024740087
0.33, 0.7099961758920249
0.335, 0.7034554789330626
0.34, 0.696982613246851
0.34500000000000003, 0.6905767903147433
0.35000000000000003, 0.6842372313408512
0.355, 0.6779631671435782
0.36, 0.6717538380474999
0.365, 0.6656084937756805
0.37, 0.6595263933424481
0.375, 0.6535068049466769
0.38, 0.6475490058656174
0.385, 0.6416522823492735
0.39, 0.6358159295154132
0.395, 0.6300392512451983
0.4, 0.6243215600794724
0.405, 0.6186621771157389
0.41000000000000003, 0.613060431905857
0.41500000000000004, 0.6075156623544542
0.42, 0.6020272146181086
0.425, 0.5965944430052892
0.43, 0.591216709877098
0.435, 0.5858933855487964
0.44, 0.5806238481921874
0.445, 0.5754074837387919
0.45, 0.5702436857839005
0.455, 0.5651318554914453
0.46, 0.5600714014998049
0.465, 0.5550617398283901
0.47000000000000003, 0.5501022937852182
0.47500000000000003, 0.5451924938752749
0.48, 0.5403317777098575
0.485, 0.5355195899167592
0.49, 0.5307553820513946
0.495, 0.5260386125088127
0.5, 0.5213687464366503
0.505, 0.5167452556489451
0.51, 0.5121676185409301
0.515, 0.5076353200046991
0.52, 0.5031478513457953
0.525, 0.4987047102007329
0.53, 0.49430540045541854
0.535, 0.4899494321644844
0.54, 0.48563632147154623
0.545, 0.48136559053035144
0.55, 0.4771367674268609
0.555, 0.47294938610220216
0.56, 0.46880298627654227
0.5650000000000001, 0.4646971133738576
0.5700000000000001, 0.4606313184475868
0.5750000000000001, 0.45660515810717134
0.58, 0.4526181944454769
0.585, 0.44866999496710325
0.59, 0.444760132517554
0.595, 0.44088818521328005
0.6, 0.437053736372576
0.605, 0.4332563744473312
0.61, 0.42949569295564316
0.615, 0.4257712904152484
0.62, 0.4220827702778141
0.625, 0.4184297408640322
0.63, 0.4148118152995694
0.635, 0.41122861145178213
0.64, 0.40767975186729577
0.645, 0.40416486371033283
0.65, 0.40068357870188237
0.655, 0.39723553305959836
0.66, 0.3938203674385385
0.665, 0.39043772687262024
0.67, 0.38708726071687705
0.675, 0.3837686225904514
0.68, 0.3804814703203309
0.685, 0.3772254658858451
0.6900000000000001, 0.3740002753638787
0.6950000000000001, 0.3708055688748085
0.7000000000000001, 0.36764102052916636
0.705, 0.3645063083750062
0.71, 0.3614011143459685
0.715, 0.35832512421004586
