Radial distance r (a.u.), Calculated helium wavefunction
0.005, 1.3047052173007097
0.01, 1.2917338245079835
0.015, 1.2788987447652953
0.02, 1.2661988277233165
0.025, 1.2536329153076713
0.03, 1.2411998426999518
0.035, 1.2288984392740538
0.04, 1.2167275294893163
0.045, 1.204685933742257
0.05, 1.1927724691781898
0.055, 1.1809859504644349
0.06, 1.169325190526407
0.065, 1.1577890012480403
0.07, 1.1463761941378885
0.075, 1.1350855809621923
0.08, 1.1239159743461886
0.085, 1.1128661883449014
0.09, 1.1019350389845743
0.095, 1.091121344775852
0.1, 1.0804239271999245
0.105, 1.069841611168583
0.11, 1.0593732254592942
0.115, 1.0490176031262721
0.12, 1.038773581888475
0.125, 1.028640004495517
0.13, 1.0186157190723624
0.135, 1.0086995794436577
0.14, 0.9988904454385386
0.145, 0.989187183176743
0.15, 0.9795886653368114
0.155, 0.9700937714070548
0.16, 0.9607013879201175
0.165, 0.9514104086717514
0.17, 0.9422197349244813
0.17500000000000002, 0.9331282755968712
0.18, 0.9241349474389575
0.185, 0.9152386751944183
0.19, 0.9064383917501884
0.195, 0.8977330382738895
0.2, 0.8891215643398119
0.20500000000000002, 0.8806029280437624
0.21, 0.8721760961074748
0.215, 0.863840043972894
0.22, 0.8555937558868827
0.225, 0.8474362249767724
0.23, 0.8393664533171803
0.23500000000000001, 0.8313834519885027
0.24, 0.8234862411274791
0.245, 0.8156738499701903
0.25, 0.8079453168878904
0.255, 0.8002996894159677
0.26, 0.7927360242764164
0.265, 0.7852533873941161
0.27, 0.7778508539072262
0.275, 0.7705275081720236
0.28, 0.7632824437624071
0.28500000000000003, 0.7561147634644064
0.29, 0.7490235792659217
0.295, 0.7420080123419498
0.3, 0.735067193035533
0.305, 0.7282002608346958
0.31, 0.7214063643455351
0.315, 0.714684661261727
0.32, 0.7080343183306221
0.325, 0.7014545113161521
0.33, 0.6949444249586816
0.335, 0.6885032529320805
0.34, 0.6821301977980636
0.34500000000000003, 0.675824470958085
0.35000000000000003, 0.6695852926028361
0.355, 0.6634118916595956
0.36, 0.6573035057374904
