Radial distance r (a.u.), Calculated helium wavefunction
0.005, 1.2799613740603193
0.01, 1.2672363341761688
0.015, 1.2546452514777153
0.02, 1.242186995972344
0.025, 1.2298604305586118
0.03, 1.2176644119565618
0.035, 1.205597791595552
0.04, 1.1936594164613272
0.045, 1.1818481299037091
0.05, 1.1701627724063515
0.055, 1.1586021823200614
0.06, 1.1471651965609575
0.065, 1.1358506512747857
0.07, 1.124657382468752
0.075, 1.1135842266119889
0.08, 1.102630021205979
0.085, 1.0917936053259407
0.09, 1.0810738201344854
0.095, 1.0704695093684293
0.1, 1.059979519799963
0.105, 1.04960270167308
0.11, 1.0393379091163466
0.115, 1.029184000532824
0.12, 1.0191398389682065
0.125, 1.0092042924579026
0.13, 0.999376234354041
0.135, 0.9896545436331486
0.14, 0.9800381051852805
0.145, 0.9705258100854166
0.15, 0.9611165558478607
0.155, 0.9518092466642518
0.16, 0.9426027936260503
0.165, 0.9334961149319377
0.17, 0.9244881360810236
0.17500000000000002, 0.915577790052204
0.18, 0.9067640174704696
0.185, 0.8980457667606566
0.19, 0.8894219942891229
0.195, 0.8808916644940218
0.2, 0.8724537500045508
0.20500000000000002, 0.8641072317497106
0.21, 0.8558510990570803
0.215, 0.8476843497420106
0.22, 0.8396059901876809
0.225, 0.8316150354164803
0.23, 0.8237105091530225
0.23500000000000001, 0.8158914438793249
0.24, 0.8081568808823637
0.245, 0.8005058702944913
0.25, 0.7929374711269753
0.255, 0.7854507512970664
0.26, 0.7780447876488338
0.265, 0.7707186659681194
0.27, 0.76347148099191
0.275, 0.7563023364123738
0.28, 0.7492103448758588
0.28500000000000003, 0.7421946279771114
0.29, 0.7352543162489585
0.295, 0.7283885491476649
0.3, 0.7215964750342486
0.305, 0.71487725115195
0.31, 0.7082300436000265
0.315, 0.7016540273041592
0.32, 0.6951483859835623
0.325, 0.6887123121150912
0.33, 0.6823450068944092
0.335, 0.6760456801945014
0.34, 0.669813550521603
0.34500000000000003, 0.6636478449687572
0.35000000000000003, 0.657547799167138
0.355, 0.6515126572352345
0.36, 0.6455416717261224
0.365, 0.6396341035728935
0.37, 0.6337892220323661
0.375, 0.6280063046272125
0.38, 0.6222846370866484
0.385, 0.6166235132857163
0.39, 0.6110222351833432
0.395, 0.6054801127592458
0.4, 0.5999964639497539
0.405, 0.5945706145826815
0.41000000000000003, 0.5892018983113138
0.41500000000000004, 0.5838896565475935
0.42, 0.5786332383945846
0.425, 0.5734320005782985
0.43, 0.568285307378945
0.435, 0.5631925305616767
0.44, 0.5581530493068959
0.445, 0.5531662501401908
0.45, 0.5482315268619475
0.455, 0.543348280476704
0.46, 0.538515919122296
0.465, 0.5337338579988371
0.47000000000000003, 0.5290015192976125
0.47500000000000003, 0.5243183321298838
0.48, 0.519683732455691
0.485, 0.5150971630126705
0.49, 0.5105580732449282
0.495, 0.5060659192320268
0.5, 0.5016201636180787
0.505, 0.4972202755410315
0.51, 0.49286573056212557
0.515, 0.48855601059561005
0.52, 0.4842906038386652
0.525, 0.4800690047016538
0.53, 0.47589071373864555
0.535, 0.47175523757827686
0.54, 0.4676620888549634
0.545, 0.46361078614048773
0.55, 0.4596008538759632
0.555, 0.45563182230421057
0.56, 0.45170322740256225
0.5650000000000001, 0.4478146108160948
0.5700000000000001, 0.4439655197913334
0.5750000000000001, 0.440155507110417
0.58, 0.43638413102572166
0.585, 0.43265095519501234
0.59, 0.42895554861707175
0.595, 0.42529748556784386
0.6, 0.42167634553711075
0.605, 0.41809171316569116
0.61, 0.41454317818317216
0.615, 0.41103033534618794
0.62, 0.40755278437725645
0.625, 0.40411012990415385
0.63, 0.40070198139987656
0.635, 0.39732795312313396
0.64, 0.3939876640594317
0.645, 0.3906807378627342
0.65, 0.387406802797673
0.655, 0.3841654916823625
0.66, 0.380956441831763
0.665, 0.3777792950016553
0.67, 0.3746336973331719
0.675, 0.37151929929792404
0.68, 0.36843575564370323
0.685, 0.36538272534075955
0.6900000000000001, 0.3623598715286751
0.6950000000000001, 0.3593668614638055
0.7000000000000001, 0.3564033664673027
0.705, 0.35346906187371707
0.71, 0.3505636269801796
0.715, 0.34768674499614827
0.72, 0.3448381029937325
0.725, 0.3420158051981566
0.73, 0.3392195782255162
0.735, 0.33644915168953177
0.74, 0.33370425817372745
0.745, 0.3309846332035001
0.75, 0.32829001521813156
0.755, 0.3256201455427215
0.76, 0.32297476836009714
0.765, 0.3203536306827097
