       Step     Time          Energy         fmax
GPMin:    0 16:54:46       -3.172689        1.3491
GPMin:    1 16:54:52       -4.013258        0.6019
GPMin:    2 16:54:58       -4.290708        0.2547
GPMin:    3 16:55:04       -4.356410        0.0977
GPMin:    4 16:55:09       -4.365949        0.1257
GPMin:    5 16:55:14       -4.378861        0.1092
GPMin:    6 16:55:19       -4.394711        0.1300
GPMin:    7 16:55:25       -4.415322        0.0993
GPMin:    8 16:55:31       -4.435467        0.0733
GPMin:    9 16:55:35       -4.436668        0.0685
GPMin:   10 16:55:40       -4.444858        0.0499
GPMin:   11 16:55:45       -4.448140        0.0513
GPMin:   12 16:55:51       -4.461644        0.0808
GPMin:   13 16:55:56       -4.464609        0.0505
GPMin:   14 16:56:02       -4.468285        0.0651
GPMin:   15 16:56:15       -4.469045        0.1668
GPMin:   16 16:56:22       -4.563042        0.2208
GPMin:   17 16:56:27       -4.607307        0.2196
GPMin:   18 16:56:33       -4.633286        0.2119
GPMin:   19 16:56:40       -4.750756        0.1719
GPMin:   20 16:56:46       -4.775116        0.2221
GPMin:   21 16:56:51       -4.798994        0.1924
GPMin:   22 16:56:57       -4.833510        0.0939
GPMin:   23 16:57:02       -4.850062        0.0740
GPMin:   24 16:57:07       -4.856304        0.0724
GPMin:   25 16:57:12       -4.865811        0.0647
GPMin:   26 16:57:17       -4.875518        0.0471
GPMin:   27 16:57:22       -4.880498        0.0363
GPMin:   28 16:57:27       -4.884524        0.0480
GPMin:   29 16:57:31       -4.888083        0.0235
GPMin:   30 16:57:35       -4.889168        0.0112
       Step     Time          Energy         fmax
GPMin:    0 16:57:44       -3.178192        1.3449
GPMin:    1 16:57:50       -4.015211        0.5983
GPMin:    2 16:57:56       -4.290411        0.2540
GPMin:    3 16:58:02       -4.355067        0.0986
GPMin:    4 16:58:07       -4.364295        0.1258
GPMin:    5 16:58:12       -4.378118        0.1042
GPMin:    6 16:58:17       -4.392923        0.1383
GPMin:    7 16:58:22       -4.404896        0.1210
GPMin:    8 16:58:34       -4.452642        0.1063
GPMin:    9 16:58:40       -4.454634        0.0384
GPMin:   10 16:59:00       -4.455552        0.0375
GPMin:   11 16:59:16       -4.468427        0.0687
GPMin:   12 16:59:22       -4.474111        0.0833
GPMin:   13 16:59:27       -4.482072        0.0930
GPMin:   14 16:59:43       -4.503239        0.1691
GPMin:   15 16:59:48       -4.525893        0.2011
GPMin:   16 16:59:55       -4.564333        0.2091
GPMin:   17 17:00:00       -4.588320        0.2107
GPMin:   18 17:00:07       -4.665630        0.1987
GPMin:   19 17:00:13       -4.702931        0.2416
GPMin:   20 17:00:19       -4.725790        0.2166
GPMin:   21 17:00:25       -4.767951        0.1451
GPMin:   22 17:00:30       -4.801830        0.1104
GPMin:   23 17:00:35       -4.814954        0.0978
GPMin:   24 17:00:40       -4.829891        0.0882
GPMin:   25 17:00:45       -4.844889        0.0791
