      Step     Time          Energy         fmax
BFGS:    0 15:46:40       16.136366       35.6718
BFGS:    1 15:46:40        1.951754       11.8628
BFGS:    2 15:46:40       -1.750541        6.0495
BFGS:    3 15:46:40       -3.035521        2.9312
BFGS:    4 15:46:40       -3.613255        1.3047
BFGS:    5 15:46:40       -3.785580        0.5537
BFGS:    6 15:46:40       -3.824693        0.3559
BFGS:    7 15:46:40       -3.835060        0.3158
BFGS:    8 15:46:40       -3.845878        0.3437
BFGS:    9 15:46:40       -3.871752        0.4457
BFGS:   10 15:46:40       -3.938270        0.6287
BFGS:   11 15:46:40       -4.050789        0.7892
BFGS:   12 15:46:40       -4.049023        0.9115
BFGS:   13 15:46:40       -4.124741        0.7816
BFGS:   14 15:46:40       -4.171146        0.7604
BFGS:   15 15:46:40       -4.257177        1.4081
BFGS:   16 15:46:40       -4.338885        0.6158
BFGS:   17 15:46:40       -4.367752        0.5295
BFGS:   18 15:46:40       -4.412349        0.6246
BFGS:   19 15:46:40       -4.427506        0.4696
BFGS:   20 15:46:40       -4.450229        0.4393
BFGS:   21 15:46:40       -4.462816        0.4436
BFGS:   22 15:46:40       -4.478477        0.3458
BFGS:   23 15:46:40       -4.486857        0.3055
BFGS:   24 15:46:40       -4.492079        0.2516
BFGS:   25 15:46:40       -4.497413        0.2208
BFGS:   26 15:46:40       -4.504301        0.2421
BFGS:   27 15:46:40       -4.513708        0.2775
BFGS:   28 15:46:40       -4.532550        0.5172
BFGS:   29 15:46:40       -4.564724        0.7296
BFGS:   30 15:46:40       -4.616955        0.8898
BFGS:   31 15:46:40       -4.620687        1.2791
BFGS:   32 15:46:40       -4.647453        0.8807
BFGS:   33 15:46:40       -4.659129        0.9257
BFGS:   34 15:46:40       -4.683160        1.0280
BFGS:   35 15:46:40       -4.695774        1.0013
BFGS:   36 15:46:40       -4.708824        0.8845
BFGS:   37 15:46:40       -4.718687        0.7650
BFGS:   38 15:46:40       -4.725768        0.7120
BFGS:   39 15:46:40       -4.733474        0.7235
BFGS:   40 15:46:40       -4.740409        0.7524
BFGS:   41 15:46:40       -4.747453        0.8355
BFGS:   42 15:46:40       -4.751180        0.8484
BFGS:   43 15:46:40       -4.777061        0.8757
BFGS:   44 15:46:40       -4.790718        0.8719
BFGS:   45 15:46:40       -4.809529        0.7820
BFGS:   46 15:46:40       -4.833013        0.6933
BFGS:   47 15:46:40       -4.852430        0.6830
BFGS:   48 15:46:40       -4.865145        0.5818
BFGS:   49 15:46:40       -4.881042        0.5556
BFGS:   50 15:46:40       -4.898275        0.6497
BFGS:   51 15:46:40       -4.926773        0.7334
BFGS:   52 15:46:40       -5.012511        0.6505
BFGS:   53 15:46:40       -5.096972        0.8087
BFGS:   54 15:46:40       -5.153035        0.8252
BFGS:   55 15:46:40       -5.186209        0.6919
BFGS:   56 15:46:40       -5.231045        1.2851
BFGS:   57 15:46:40       -5.206764        1.0152
BFGS:   58 15:46:40       -5.275376        0.8439
BFGS:   59 15:46:40       -5.326418        0.4708
BFGS:   60 15:46:40       -5.352344        0.4806
BFGS:   61 15:46:40       -5.380404        0.5041
BFGS:   62 15:46:40       -5.396231        0.5949
BFGS:   63 15:46:40       -5.401617        0.4026
BFGS:   64 15:46:40       -5.403990        0.3779
BFGS:   65 15:46:40       -5.418357        0.4556
BFGS:   66 15:46:40       -5.439268        0.5284
BFGS:   67 15:46:40       -5.484539        0.7468
BFGS:   68 15:46:40       -5.527152        1.0012
BFGS:   69 15:46:40       -5.578682        1.1990
BFGS:   70 15:46:40       -5.614671        1.2080
BFGS:   71 15:46:40       -5.644456        1.1984
BFGS:   72 15:46:40       -5.770008        1.2101
BFGS:   73 15:46:40       -5.897310        1.1321
BFGS:   74 15:46:40       -5.858913        0.9626
BFGS:   75 15:46:40       -5.957186        1.0657
BFGS:   76 15:46:40       -5.990786        1.0052
BFGS:   77 15:46:40       -6.068909        0.8266
BFGS:   78 15:46:41       -6.090139        0.8405
BFGS:   79 15:46:41       -6.102961        0.7669
BFGS:   80 15:46:41       -6.113489        0.8149
BFGS:   81 15:46:41       -6.120124        0.8800
BFGS:   82 15:46:41       -6.127709        0.9069
BFGS:   83 15:46:41       -6.156073        0.9625
BFGS:   84 15:46:41       -6.189449        0.8043
BFGS:   85 15:46:41       -6.212349        0.8035
BFGS:   86 15:46:41       -6.230722        0.6317
BFGS:   87 15:46:41       -6.234998        0.6926
BFGS:   88 15:46:41       -6.239579        0.6597
BFGS:   89 15:46:41       -6.245346        0.6170
BFGS:   90 15:46:41       -6.251775        0.5713
BFGS:   91 15:46:41       -6.264452        0.5586
BFGS:   92 15:46:41       -6.274697        0.4925
BFGS:   93 15:46:41       -6.284406        0.4784
BFGS:   94 15:46:41       -6.291313        0.4603
BFGS:   95 15:46:41       -6.303230        0.4591
BFGS:   96 15:46:41       -6.317279        0.4358
BFGS:   97 15:46:41       -6.338366        0.3627
BFGS:   98 15:46:41       -6.354645        0.2604
BFGS:   99 15:46:41       -6.366650        0.1948
BFGS:  100 15:46:41       -6.377181        0.1671
BFGS:  101 15:46:41       -6.382509        0.2401
BFGS:  102 15:46:41       -6.387036        0.2579
BFGS:  103 15:46:41       -6.397152        0.3857
BFGS:  104 15:46:41       -6.405915        0.5064
BFGS:  105 15:46:41       -6.412652        0.6177
BFGS:  106 15:46:41       -6.428219        0.6774
BFGS:  107 15:46:41       -6.506136        0.9820
BFGS:  108 15:46:41       -6.581762        1.2309
BFGS:  109 15:46:41       -6.673782        1.3624
BFGS:  110 15:46:41       -6.797351        1.3049
BFGS:  111 15:46:41       -6.946325        0.9190
BFGS:  112 15:46:41       -6.881604        1.2835
BFGS:  113 15:46:41       -7.052709        0.5660
BFGS:  114 15:46:41       -7.061376        0.4757
BFGS:  115 15:46:41       -7.089292        0.3874
BFGS:  116 15:46:41       -7.093698        0.3261
BFGS:  117 15:46:41       -7.096773        0.3309
BFGS:  118 15:46:41       -7.099600        0.3081
BFGS:  119 15:46:41       -7.101570        0.3095
BFGS:  120 15:46:41       -7.103162        0.3110
BFGS:  121 15:46:41       -7.104876        0.3028
BFGS:  122 15:46:41       -7.105733        0.2935
BFGS:  123 15:46:41       -7.106209        0.2882
BFGS:  124 15:46:41       -7.106902        0.2859
BFGS:  125 15:46:41       -7.108110        0.2876
BFGS:  126 15:46:41       -7.109971        0.2917
BFGS:  127 15:46:41       -7.112418        0.2912
