       Step     Time          Energy         fmax
GPMin:    0 17:36:16       -6.525872        0.6649
GPMin:    1 17:36:24       -6.786053        0.2784
GPMin:    2 17:36:32       -6.916448        0.2227
GPMin:    3 17:36:39       -7.010435        0.1771
GPMin:    4 17:36:47       -7.056160        0.1065
GPMin:    5 17:36:53       -7.076787        0.0826
GPMin:    6 17:37:00       -7.091977        0.0493
GPMin:    7 17:37:06       -7.099210        0.0431
GPMin:    8 17:37:12       -7.107703        0.0479
GPMin:    9 17:37:18       -7.119576        0.0485
GPMin:   10 17:37:25       -7.132850        0.0490
GPMin:   11 17:37:32       -7.147500        0.0410
GPMin:   12 17:37:38       -7.160451        0.0381
GPMin:   13 17:37:44       -7.170805        0.0356
GPMin:   14 17:37:50       -7.181120        0.0413
GPMin:   15 17:37:56       -7.195029        0.0523
GPMin:   16 17:38:02       -7.216446        0.0578
GPMin:   17 17:38:07       -7.240864        0.0541
GPMin:   18 17:38:13       -7.263104        0.0433
GPMin:   19 17:38:19       -7.276209        0.0288
GPMin:   20 17:38:24       -7.279748        0.0232
GPMin:   21 17:38:29       -7.280448        0.0129
       Step     Time          Energy         fmax
GPMin:    0 17:38:40       -6.670992        0.1815
GPMin:    1 17:38:48       -6.792498        0.1674
GPMin:    2 17:38:55       -6.878372        0.1762
GPMin:    3 17:39:02       -6.959404        0.1726
GPMin:    4 17:39:09       -7.030996        0.1584
GPMin:    5 17:39:16       -7.082289        0.1240
GPMin:    6 17:39:23       -7.113374        0.0717
GPMin:    7 17:39:29       -7.134246        0.0567
GPMin:    8 17:39:35       -7.156942        0.0621
GPMin:    9 17:39:41       -7.180048        0.0704
GPMin:   10 17:39:47       -7.204072        0.0877
GPMin:   11 17:39:54       -7.233319        0.0952
GPMin:   12 17:40:00       -7.258807        0.0744
GPMin:   13 17:40:07       -7.272208        0.0453
GPMin:   14 17:40:12       -7.277146        0.0366
GPMin:   15 17:40:18       -7.279063        0.0249
GPMin:   16 17:40:24       -7.280110        0.0151
       Step     Time          Energy         fmax
GPMin:    0 17:40:35       -6.921028        0.2868
GPMin:    1 17:40:42       -7.080705        0.2033
GPMin:    2 17:40:49       -7.156195        0.1433
GPMin:    3 17:40:56       -7.205084        0.1051
GPMin:    4 17:41:03       -7.232679        0.0731
GPMin:    5 17:41:09       -7.250082        0.0512
GPMin:    6 17:41:15       -7.258400        0.0405
GPMin:    7 17:41:21       -7.263916        0.0395
GPMin:    8 17:41:27       -7.271422        0.0421
GPMin:    9 17:41:33       -7.278014        0.0205
GPMin:   10 17:41:38       -7.279785        0.0132
       Step     Time          Energy         fmax
GPMin:    0 17:41:50       -6.635045        0.2333
GPMin:    1 17:41:57       -6.771336        0.2296
GPMin:    2 17:42:05       -6.864629        0.2078
GPMin:    3 17:42:12       -6.932646        0.1557
GPMin:    4 17:42:19       -6.977983        0.0876
GPMin:    5 17:42:25       -7.015188        0.1230
GPMin:    6 17:42:32       -7.064703        0.1131
GPMin:    7 17:42:38       -7.111054        0.1116
GPMin:    8 17:42:44       -7.152560        0.1286
GPMin:    9 17:42:51       -7.191289        0.1339
GPMin:   10 17:42:57       -7.229455        0.1092
GPMin:   11 17:43:03       -7.251972        0.0665
GPMin:   12 17:43:09       -7.263326        0.0769
GPMin:   13 17:43:15       -7.273013        0.0460
GPMin:   14 17:43:21       -7.276960        0.0306
GPMin:   15 17:43:26       -7.278402        0.0215
GPMin:   16 17:43:32       -7.279829        0.0144
       Step     Time          Energy         fmax
GPMin:    0 17:43:42       -6.831954        0.6370
GPMin:    1 17:43:49       -7.061265        0.2833
GPMin:    2 17:43:56       -7.158014        0.2187
GPMin:    3 17:44:03       -7.214201        0.0757
GPMin:    4 17:44:09       -7.228275        0.0735
GPMin:    5 17:44:15       -7.237654        0.0412
GPMin:    6 17:44:21       -7.242457        0.0260
GPMin:    7 17:44:27       -7.244463        0.0220
GPMin:    8 17:44:32       -7.247380        0.0283
GPMin:    9 17:44:38       -7.255016        0.0311
GPMin:   10 17:44:44       -7.265578        0.0334
GPMin:   11 17:44:51       -7.275071        0.0216
GPMin:   12 17:44:57       -7.277814        0.0299
GPMin:   13 17:45:02       -7.278810        0.0177
       Step     Time          Energy         fmax
GPMin:    0 17:45:13       -6.684109        0.6596
GPMin:    1 17:45:21       -6.941773        0.3126
GPMin:    2 17:45:28       -7.072174        0.2468
GPMin:    3 17:45:35       -7.169720        0.1631
GPMin:    4 17:45:42       -7.208926        0.1068
GPMin:    5 17:45:48       -7.229858        0.0823
GPMin:    6 17:45:55       -7.248406        0.0525
GPMin:    7 17:46:01       -7.257958        0.0446
GPMin:    8 17:46:06       -7.264865        0.0407
GPMin:    9 17:46:12       -7.269465        0.0405
GPMin:   10 17:46:18       -7.274584        0.0281
GPMin:   11 17:46:23       -7.278042        0.0215
GPMin:   12 17:46:29       -7.279356        0.0159
       Step     Time          Energy         fmax
GPMin:    0 17:46:39       -6.831954        0.6369
GPMin:    1 17:46:46       -7.061301        0.2833
GPMin:    2 17:46:53       -7.158048        0.2187
GPMin:    3 17:47:00       -7.214211        0.0757
GPMin:    4 17:47:06       -7.228278        0.0735
GPMin:    5 17:47:12       -7.237659        0.0412
GPMin:    6 17:47:18       -7.242459        0.0260
GPMin:    7 17:47:23       -7.244463        0.0220
GPMin:    8 17:47:29       -7.247384        0.0283
GPMin:    9 17:47:35       -7.255022        0.0311
GPMin:   10 17:47:41       -7.265583        0.0334
GPMin:   11 17:47:48       -7.275071        0.0216
GPMin:   12 17:47:53       -7.277816        0.0299
GPMin:   13 17:47:59       -7.278811        0.0176
       Step     Time          Energy         fmax
GPMin:    0 17:48:10       -6.689404        0.6406
GPMin:    1 17:48:18       -6.887759        0.2586
GPMin:    2 17:48:26       -6.985219        0.2309
GPMin:    3 17:48:33       -7.078966        0.1985
GPMin:    4 17:48:40       -7.146813        0.1472
GPMin:    5 17:48:46       -7.185707        0.1039
GPMin:    6 17:48:53       -7.208647        0.0993
GPMin:    7 17:48:59       -7.235788        0.0820
GPMin:    8 17:49:06       -7.258464        0.0603
GPMin:    9 17:49:12       -7.271273        0.0401
GPMin:   10 17:49:18       -7.276040        0.0327
GPMin:   11 17:49:24       -7.277719        0.0233
GPMin:   12 17:49:29       -7.279389        0.0218
GPMin:   13 17:49:35       -7.280354        0.0122
       Step     Time          Energy         fmax
GPMin:    0 17:49:48       -6.197539        0.5854
GPMin:    1 17:49:55       -6.569916        0.2716
GPMin:    2 17:50:02       -6.726163        0.1971
GPMin:    3 17:50:08       -6.806441        0.1301
GPMin:    4 17:50:14       -6.838666        0.0571
GPMin:    5 17:50:20       -6.846486        0.0391
GPMin:    6 17:50:26       -6.848764        0.0163
       Step     Time          Energy         fmax
GPMin:    0 17:50:37       -6.831954        0.6368
GPMin:    1 17:50:44       -7.061305        0.2833
GPMin:    2 17:50:51       -7.158054        0.2187
GPMin:    3 17:50:58       -7.214214        0.0756
GPMin:    4 17:51:04       -7.228277        0.0735
GPMin:    5 17:51:10       -7.237660        0.0412
GPMin:    6 17:51:16       -7.242457        0.0260
GPMin:    7 17:51:21       -7.244460        0.0220
GPMin:    8 17:51:27       -7.247381        0.0283
GPMin:    9 17:51:33       -7.255018        0.0311
GPMin:   10 17:51:39       -7.265579        0.0334
GPMin:   11 17:51:46       -7.275071        0.0216
GPMin:   12 17:51:52       -7.277814        0.0299
GPMin:   13 17:51:57       -7.278811        0.0177
       Step     Time          Energy         fmax
GPMin:    0 17:52:08       -6.567441        0.6525
GPMin:    1 17:52:15       -6.777547        0.1958
GPMin:    2 17:52:22       -6.858933        0.1700
GPMin:    3 17:52:30       -6.945861        0.1567
GPMin:    4 17:52:37       -7.010796        0.1474
GPMin:    5 17:52:44       -7.074991        0.1220
GPMin:    6 17:52:50       -7.128252        0.1254
GPMin:    7 17:52:57       -7.173234        0.1298
GPMin:    8 17:53:03       -7.209343        0.1136
GPMin:    9 17:53:10       -7.229413        0.0716
GPMin:   10 17:53:15       -7.237426        0.0335
GPMin:   11 17:53:21       -7.239673        0.0268
GPMin:   12 17:53:27       -7.240844        0.0182
       Step     Time          Energy         fmax
GPMin:    0 17:53:39       -6.355732        0.6643
GPMin:    1 17:53:47       -6.614794        0.2343
GPMin:    2 17:53:55       -6.692493        0.2370
GPMin:    3 17:54:02       -6.775246        0.2541
GPMin:    4 17:54:09       -6.862857        0.2547
GPMin:    5 17:54:16       -6.952927        0.2251
GPMin:    6 17:54:22       -7.019402        0.1538
GPMin:    7 17:54:29       -7.053600        0.0813
GPMin:    8 17:54:35       -7.068314        0.0634
GPMin:    9 17:54:41       -7.075847        0.0427
GPMin:   10 17:54:47       -7.080447        0.0540
GPMin:   11 17:54:52       -7.086808        0.0592
GPMin:   12 17:54:59       -7.097365        0.0658
GPMin:   13 17:55:05       -7.112815        0.0736
GPMin:   14 17:55:12       -7.131428        0.0719
GPMin:   15 17:55:18       -7.151401        0.0674
GPMin:   16 17:55:25       -7.166784        0.0543
GPMin:   17 17:55:31       -7.179436        0.0676
GPMin:   18 17:55:37       -7.191721        0.0776
GPMin:   19 17:55:43       -7.210989        0.0788
GPMin:   20 17:55:50       -7.236536        0.0662
GPMin:   21 17:55:56       -7.258363        0.0547
GPMin:   22 17:56:02       -7.272271        0.0473
