 id|age|user  |formula|calculator  |energy|natoms| fmax|pbc|  volume|charge|   mass| smax|magmom|mutation|extinct|generation|origin                    |gaid|description|relaxed|pairing|raw_score|simulation_cell
 21|17h|liljav|Na7    |lennardjones|-7.131|     7|0.029|FFF|4096.000| 0.000|160.928|0.000|      |        |      0|         0|StartingCandidateUnrelaxed|  21|           |      0|       |         |               
144|14h|liljav|Na7    |gpaw        |-5.874|     7|0.008|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       | 143|           |      1|       |    5.874|               
 93|14h|liljav|Na7    |gpaw        |-5.873|     7|0.013|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|RattleMutation            |  91|           |      1|       |    5.873|               
162|14h|liljav|Na7    |gpaw        |-5.873|     7|0.008|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       | 161|           |      1|       |    5.873|               
 30|16h|liljav|Na7    |gpaw        |-5.873|     7|0.015|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|StartingCandidateUnrelaxed|  10|           |      1|       |    5.873|               
 79|15h|liljav|Na7    |gpaw        |-5.873|     7|0.015|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       |  78|           |      1|       |    5.873|               
156|14h|liljav|Na7    |gpaw        |-5.873|     7|0.013|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       | 155|           |      1|       |    5.873|               
 24|16h|liljav|Na7    |gpaw        |-5.873|     7|0.010|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|StartingCandidateUnrelaxed|   4|           |      1|       |    5.873|               
 83|15h|liljav|Na7    |gpaw        |-5.873|     7|0.010|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       |  82|           |      1|       |    5.873|               
 43|15h|liljav|Na7    |gpaw        |-5.873|     7|0.010|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       |  42|           |      1|       |    5.873|               
 52|15h|liljav|Na7    |gpaw        |-5.873|     7|0.015|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|RattleMutation            |  50|           |      1|       |    5.873|               
117|14h|liljav|Na7    |gpaw        |-5.873|     7|0.011|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       | 116|           |      1|       |    5.873|               
 34|16h|liljav|Na7    |gpaw        |-5.873|     7|0.016|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|StartingCandidateUnrelaxed|  14|           |      1|       |    5.873|               
 63|15h|liljav|Na7    |gpaw        |-5.873|     7|0.012|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       |  62|           |      1|       |    5.873|               
 61|15h|liljav|Na7    |gpaw        |-5.873|     7|0.011|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       |  60|           |      1|       |    5.873|               
207|13h|liljav|Na7    |gpaw        |-5.873|     7|0.011|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|CutAndSplicePairing       | 206|           |      1|       |    5.873|               
 22|16h|liljav|Na7    |gpaw        |-5.873|     7|0.014|FFF|4096.000| 0.000|160.928|     | 0.000|        |      0|         0|StartingCandidateUnrelaxed|   2|           |      1|       |    5.873|               
