 id|age|user  |formula|calculator  |energy|natoms| fmax|pbc|  volume|charge|   mass| smax|magmom|simulation_cell|origin                    |generation|raw_score|description|gaid|pairing|relaxed|mutation|extinct
 21|17h|liljav|Na8    |lennardjones|-8.638|     8|0.026|FFF|4096.000| 0.000|183.918|0.000|      |               |StartingCandidateUnrelaxed|         0|         |           |  21|       |      0|        |      0
 28|16h|liljav|Na8    |gpaw        |-7.281|     8|0.010|FFF|4096.000| 0.000|183.918|     | 0.000|               |StartingCandidateUnrelaxed|         0|    7.281|           |   8|       |      1|        |      0
 31|16h|liljav|Na8    |gpaw        |-7.281|     8|0.011|FFF|4096.000| 0.000|183.918|     | 0.000|               |StartingCandidateUnrelaxed|         0|    7.281|           |  11|       |      1|        |      0
 32|16h|liljav|Na8    |gpaw        |-7.281|     8|0.019|FFF|4096.000| 0.000|183.918|     | 0.000|               |StartingCandidateUnrelaxed|         0|    7.281|           |  12|       |      1|        |      0
 36|16h|liljav|Na8    |gpaw        |-7.281|     8|0.011|FFF|4096.000| 0.000|183.918|     | 0.000|               |StartingCandidateUnrelaxed|         0|    7.281|           |  16|       |      1|        |      0
 24|16h|liljav|Na8    |gpaw        |-7.281|     8|0.011|FFF|4096.000| 0.000|183.918|     | 0.000|               |StartingCandidateUnrelaxed|         0|    7.281|           |   4|       |      1|        |      0
112|14h|liljav|Na8    |gpaw        |-7.281|     8|0.011|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.281|           | 111|       |      1|        |      0
197|13h|liljav|Na8    |gpaw        |-7.281|     8|0.011|FFF|4096.000| 0.000|183.918|     | 0.000|               |RattleMutation            |         0|    7.281|           | 195|       |      1|        |      0
188|13h|liljav|Na8    |gpaw        |-7.281|     8|0.015|FFF|4096.000| 0.000|183.918|     | 0.000|               |RattleMutation            |         0|    7.281|           | 186|       |      1|        |      0
 35|16h|liljav|Na8    |gpaw        |-7.281|     8|0.015|FFF|4096.000| 0.000|183.918|     | 0.000|               |StartingCandidateUnrelaxed|         0|    7.281|           |  15|       |      1|        |      0
149|14h|liljav|Na8    |gpaw        |-7.281|     8|0.009|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.281|           | 148|       |      1|        |      0
155|14h|liljav|Na8    |gpaw        |-7.281|     8|0.017|FFF|4096.000| 0.000|183.918|     | 0.000|               |CutAndSplicePairing       |         0|    7.281|           | 154|       |      1|        |      0
