       Step     Time          Energy         fmax
GPMin:    0 13:25:32       -4.453481        0.1065
GPMin:    1 13:25:41       -4.460865        0.0750
GPMin:    2 13:25:49       -4.475086        0.0251
GPMin:    3 13:27:19       -4.475240        0.0170
GPMin:    4 13:27:25       -4.475314        0.0146
GPMin:    5 13:27:40       -4.475562        0.0147
GPMin:    6 13:28:11       -4.475686        0.0058
GPMin:    7 13:28:38       -4.475797        0.0023
GPMin:    8 13:28:42       -4.475835        0.0020
GPMin:    9 13:29:02       -4.475852        0.0021
GPMin:   10 13:29:06       -4.475882        0.0009
