       Step     Time          Energy         fmax
GPMin:    0 13:25:43       -5.321310        0.0345
GPMin:    1 13:26:40       -5.323893        0.0206
GPMin:    2 13:26:55       -5.324905        0.0082
GPMin:    3 13:28:31       -5.324995        0.0285
GPMin:    4 13:29:03       -5.325708        0.0141
GPMin:    5 13:29:32       -5.325894        0.0022
GPMin:    6 13:29:44       -5.325913        0.0010
GPMin:    7 13:29:56       -5.325936        0.0013
GPMin:    8 13:30:10       -5.326024        0.0046
GPMin:    9 13:31:13       -5.326356        0.0044
GPMin:   10 13:31:53       -5.326424        0.0015
GPMin:   11 13:32:20       -5.326428        0.0023
GPMin:   12 13:32:31       -5.326439        0.0006
