       Step     Time          Energy         fmax
GPMin:    0 13:25:42       -5.256165        0.0243
GPMin:    1 13:26:38       -5.256367        0.0468
GPMin:    2 13:26:54       -5.256492        0.0674
GPMin:    3 13:27:28       -5.258460        0.0415
GPMin:    4 13:27:43       -5.260446        0.0288
GPMin:    5 13:28:32       -5.260664        0.0418
GPMin:    6 13:28:46       -5.261968        0.0270
GPMin:    7 13:29:16       -5.262527        0.0037
GPMin:    8 13:29:27       -5.262558        0.0022
GPMin:    9 13:29:56       -5.262748        0.0027
GPMin:   10 13:30:09       -5.262818        0.0019
GPMin:   11 13:30:24       -5.263032        0.0108
GPMin:   12 13:31:10       -5.263083        0.0396
GPMin:   13 13:32:08       -5.263179        0.0283
GPMin:   14 13:32:22       -5.264220        0.0174
GPMin:   15 13:32:48       -5.264251        0.0170
GPMin:   16 13:33:01       -5.264693        0.0056
GPMin:   17 13:33:11       -5.264747        0.0047
GPMin:   18 13:33:22       -5.264791        0.0039
GPMin:   19 13:33:31       -5.264841        0.0027
GPMin:   20 13:33:57       -5.264913        0.0013
GPMin:   21 13:34:24       -5.265003        0.0017
GPMin:   22 13:34:35       -5.265043        0.0018
GPMin:   23 13:34:46       -5.265100        0.0015
GPMin:   24 13:34:58       -5.265135        0.0020
GPMin:   25 13:35:09       -5.265161        0.0024
GPMin:   26 13:35:19       -5.265178        0.0021
GPMin:   27 13:35:31       -5.265190        0.0020
GPMin:   28 13:35:40       -5.265202        0.0007
