       Step     Time          Energy         fmax
GPMin:    0 13:25:42       -5.185120        0.0389
GPMin:    1 13:26:31       -5.187572        0.0294
GPMin:    2 13:26:46       -5.188382        0.0379
GPMin:    3 13:26:58       -5.188884        0.0209
GPMin:    4 13:27:08       -5.189358        0.0029
GPMin:    5 13:27:16       -5.189361        0.0031
GPMin:    6 13:28:11       -5.189441        0.0044
GPMin:    7 13:28:22       -5.189532        0.0044
GPMin:    8 13:29:05       -5.189591        0.0049
GPMin:    9 13:29:17       -5.189660        0.0015
GPMin:   10 13:29:43       -5.189673        0.0010
