       Step     Time          Energy         fmax
GPMin:    0 13:25:43       -5.128533        0.0233
GPMin:    1 13:26:18       -5.128613        0.0247
GPMin:    2 13:27:11       -5.129412        0.0027
GPMin:    3 13:27:48       -5.129445        0.0016
GPMin:    4 13:27:57       -5.129455        0.0034
GPMin:    5 13:28:16       -5.129605        0.0015
GPMin:    6 13:28:24       -5.129688        0.0019
GPMin:    7 13:28:35       -5.129827        0.0052
GPMin:    8 13:30:06       -5.130556        0.0175
GPMin:    9 13:30:16       -5.130773        0.0118
GPMin:   10 13:30:24       -5.130909        0.0048
GPMin:   11 13:30:56       -5.131053        0.0239
GPMin:   12 13:31:07       -5.131103        0.0233
GPMin:   13 13:31:38       -5.131320        0.0295
GPMin:   14 13:31:49       -5.131563        0.0282
GPMin:   15 13:31:58       -5.132080        0.0115
GPMin:   16 13:32:05       -5.132243        0.0036
GPMin:   17 13:32:13       -5.132265        0.0027
GPMin:   18 13:32:20       -5.132289        0.0015
GPMin:   19 13:32:27       -5.132313        0.0021
GPMin:   20 13:32:34       -5.132322        0.0037
GPMin:   21 13:32:41       -5.132393        0.0035
GPMin:   22 13:32:48       -5.132439        0.0026
GPMin:   23 13:32:55       -5.132484        0.0023
GPMin:   24 13:33:02       -5.132553        0.0041
GPMin:   25 13:33:10       -5.132573        0.0045
GPMin:   26 13:33:17       -5.132598        0.0010
