Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.5771    -334.5733       2.9962   317.5
0.0010        -331.5780    -334.6916       3.1136   330.0
0.0015        -331.5780    -334.7974       3.2194   341.2
0.0020        -331.5774    -334.8791       3.3017   349.9
0.0025        -331.5759    -334.9365       3.3606   356.1
0.0030        -331.5744    -334.9828       3.4084   361.2
0.0035        -331.5730    -335.0343       3.4613   366.8
0.0040        -331.5730    -335.1024       3.5294   374.0
0.0045        -331.5742    -335.1848       3.6106   382.6
0.0050        -331.5763    -335.2673       3.6911   391.2
0.0055        -331.5784    -335.3271       3.7488   397.3
0.0060        -331.5804    -335.3506       3.7702   399.6
0.0065        -331.5822    -335.3389       3.7567   398.1
0.0070        -331.5842    -335.3060       3.7218   394.4
0.0075        -331.5866    -335.2753       3.6887   390.9
0.0080        -331.5900    -335.2723       3.6824   390.2
0.0085        -331.5952    -335.3160       3.7208   394.3
0.0090        -331.6021    -335.4100       3.8079   403.6
0.0095        -331.6113    -335.5415       3.9302   416.5
0.0100        -331.6223    -335.6787       4.0564   429.9
0.0105        -331.6344    -335.7823       4.1479   439.6
0.0110        -331.6476    -335.8174       4.1698   441.9
0.0115        -331.6601    -335.7624       4.1023   434.8
0.0120        -331.6714    -335.6237       3.9522   418.8
0.0125        -331.6823    -335.4362       3.7539   397.8
0.0130        -331.6933    -335.2505       3.5572   377.0
0.0135        -331.7061    -335.1119       3.4058   360.9
0.0140        -331.7205    -335.0366       3.3161   351.4
0.0145        -331.7358    -335.0090       3.2731   346.9
0.0150        -331.7512    -334.9955       3.2444   343.8
0.0155        -331.7650    -334.9636       3.1986   339.0
0.0160        -331.7773    -334.8972       3.1199   330.6
0.0165        -331.7883    -334.8007       3.0125   319.3
0.0170        -331.7980    -334.6947       2.8967   307.0
0.0175        -331.8073    -334.6055       2.7983   296.6
0.0180        -331.8162    -334.5569       2.7408   290.5
0.0185        -331.8256    -334.5640       2.7383   290.2
0.0190        -331.8352    -334.6256       2.7904   295.7
0.0195        -331.8453    -334.7288       2.8834   305.6
0.0200        -331.8552    -334.8508       2.9955   317.5
0.0205        -331.8651    -334.9693       3.1042   329.0
0.0210        -331.8748    -335.0653       3.1905   338.1
0.0215        -331.8842    -335.1245       3.2403   343.4
0.0220        -331.8932    -335.1384       3.2452   343.9
0.0225        -331.9015    -335.1064       3.2049   339.6
0.0230        -331.9089    -335.0394       3.1306   331.8
0.0235        -331.9153    -334.9603       3.0450   322.7
0.0240        -331.9214    -334.8977       2.9763   315.4
0.0245        -331.9285    -334.8755       2.9470   312.3
0.0250        -331.9368    -334.8957       2.9589   313.6
0.0255        -331.9459    -334.9353       2.9894   316.8
0.0260        -331.9537    -334.9587       3.0051   318.5
0.0265        -331.9593    -334.9434       2.9841   316.2
0.0270        -331.9634    -334.8938       2.9304   310.6
0.0275        -331.9664    -334.8365       2.8702   304.2
0.0280        -331.9694    -334.8069       2.8375   300.7
0.0285        -331.9736    -334.8295       2.8559   302.7
0.0290        -331.9791    -334.9035       2.9244   309.9
0.0295        -331.9849    -335.0031       3.0183   319.9
0.0300        -331.9899    -335.0949       3.1050   329.1
0.0305        -331.9934    -335.1544       3.1611   335.0
0.0310        -331.9957    -335.1773       3.1815   337.2
0.0315        -331.9979    -335.1747       3.1767   336.7
0.0320        -332.0000    -335.1619       3.1618   335.1
0.0325        -332.0032    -335.1499       3.1467   333.5
0.0330        -332.0067    -335.1342       3.1275   331.4
0.0335        -332.0101    -335.1012       3.0911   327.6
0.0340        -332.0124    -335.0399       3.0275   320.8
0.0345        -332.0134    -334.9523       2.9390   311.5
0.0350        -332.0135    -334.8544       2.8409   301.1
0.0355        -332.0137    -334.7672       2.7534   291.8
0.0360        -332.0140    -334.7062       2.6922   285.3
0.0365        -332.0142    -334.6774       2.6632   282.2
0.0370        -332.0139    -334.6782       2.6642   282.3
0.0375        -332.0129    -334.7037       2.6908   285.2
0.0380        -332.0117    -334.7493       2.7376   290.1
0.0385        -332.0094    -334.8086       2.7993   296.7
0.0390        -332.0070    -334.8777       2.8707   304.2
0.0395        -332.0045    -334.9468       2.9422   311.8
0.0400        -332.0010    -335.0012       3.0002   318.0
0.0405        -331.9966    -335.0319       3.0353   321.7
0.0410        -331.9910    -335.0405       3.0494   323.2
0.0415        -331.9847    -335.0404       3.0557   323.8
0.0420        -331.9789    -335.0508       3.0719   325.5
0.0425        -331.9737    -335.0812       3.1075   329.3
0.0430        -331.9686    -335.1272       3.1586   334.7
0.0435        -331.9641    -335.1777       3.2136   340.6
0.0440        -331.9593    -335.2134       3.2541   344.9
0.0445        -331.9537    -335.2163       3.2626   345.8
0.0450        -331.9474    -335.1780       3.2306   342.4
0.0455        -331.9405    -335.1009       3.1604   334.9
0.0460        -331.9333    -334.9997       3.0663   325.0
0.0465        -331.9261    -334.8949       2.9689   314.6
0.0470        -331.9182    -334.8111       2.8929   306.6
0.0475        -331.9109    -334.7758       2.8649   303.6
0.0480        -331.9043    -334.8065       2.9022   307.6
0.0485        -331.8989    -334.9006       3.0017   318.1
0.0490        -331.8939    -335.0277       3.1338   332.1
0.0495        -331.8883    -335.1404       3.2521   344.6
0.0500        -331.8803    -335.1963       3.3160   351.4
0.0505        -331.8699    -335.1844       3.3146   351.3
0.0510        -331.8586    -335.1276       3.2690   346.4
0.0515        -331.8481    -335.0639       3.2158   340.8
0.0520        -331.8391    -335.0232       3.1841   337.4
0.0525        -331.8310    -335.0148       3.1839   337.4
0.0530        -331.8234    -335.0320       3.2086   340.0
0.0535        -331.8154    -335.0593       3.2438   343.8
0.0540        -331.8076    -335.0835       3.2759   347.2
0.0545        -331.7992    -335.0919       3.2926   348.9
0.0550        -331.7906    -335.0777       3.2872   348.4
0.0555        -331.7816    -335.0425       3.2609   345.6
0.0560        -331.7730    -334.9922       3.2192   341.2
0.0565        -331.7642    -334.9310       3.1668   335.6
0.0570        -331.7556    -334.8646       3.1090   329.5
0.0575        -331.7465    -334.7997       3.0532   323.6
0.0580        -331.7374    -334.7475       3.0100   319.0
0.0585        -331.7283    -334.7183       2.9900   316.9
0.0590        -331.7196    -334.7170       2.9974   317.7
0.0595        -331.7111    -334.7382       3.0271   320.8
0.0600        -331.7025    -334.7690       3.0666   325.0
0.0605        -331.6924    -334.7957       3.1034   328.9
0.0610        -331.6819    -334.8130       3.1311   331.8
0.0615        -331.6711    -334.8206       3.1495   333.8
0.0620        -331.6597    -334.8200       3.1603   334.9
0.0625        -331.6483    -334.8149       3.1666   335.6
0.0630        -331.6373    -334.8093       3.1720   336.2
0.0635        -331.6264    -334.8029       3.1765   336.6
0.0640        -331.6143    -334.7943       3.1800   337.0
0.0645        -331.6023    -334.7895       3.1872   337.8
0.0650        -331.5903    -334.7953       3.2050   339.7
0.0655        -331.5781    -334.8204       3.2423   343.6
0.0660        -331.5662    -334.8737       3.3076   350.5
0.0665        -331.5549    -334.9565       3.4016   360.5
0.0670        -331.5445    -335.0568       3.5123   372.2
0.0675        -331.5338    -335.1478       3.6140   383.0
0.0680        -331.5231    -335.2014       3.6783   389.8
0.0685        -331.5116    -335.1983       3.6867   390.7
0.0690        -331.4991    -335.1405       3.6414   385.9
0.0695        -331.4858    -335.0550       3.5692   378.3
0.0700        -331.4730    -334.9890       3.5160   372.6
0.0705        -331.4624    -334.9891       3.5267   373.8
0.0710        -331.4543    -335.0735       3.6192   383.6
0.0715        -331.4479    -335.2211       3.7732   399.9
0.0720        -331.4421    -335.3868       3.9447   418.0
0.0725        -331.4354    -335.5246       4.0891   433.4
0.0730        -331.4285    -335.6082       4.1797   443.0
0.0735        -331.4227    -335.6314       4.2086   446.0
0.0740        -331.4174    -335.6019       4.1845   443.5
0.0745        -331.4140    -335.5373       4.1233   437.0
0.0750        -331.4117    -335.4544       4.0428   428.4
0.0755        -331.4098    -335.3737       3.9638   420.1
0.0760        -331.4100    -335.3171       3.9071   414.1
0.0765        -331.4119    -335.2990       3.8870   411.9
0.0770        -331.4163    -335.3199       3.9036   413.7
0.0775        -331.4221    -335.3605       3.9384   417.4
0.0780        -331.4291    -335.3917       3.9626   420.0
0.0785        -331.4358    -335.3879       3.9521   418.8
0.0790        -331.4426    -335.3390       3.8964   412.9
0.0795        -331.4492    -335.2524       3.8032   403.1
0.0800        -331.4565    -335.1496       3.6931   391.4
0.0805        -331.4648    -335.0509       3.5861   380.0
0.0810        -331.4736    -334.9682       3.4946   370.4
0.0815        -331.4823    -334.9103       3.4280   363.3
0.0820        -331.4916    -334.8852       3.3936   359.6
0.0825        -331.5012    -334.8966       3.3955   359.8
0.0830        -331.5127    -334.9393       3.4265   363.1
0.0835        -331.5244    -334.9902       3.4658   367.3
0.0840        -331.5360    -335.0237       3.4877   369.6
0.0845        -331.5466    -335.0229       3.4763   368.4
0.0850        -331.5560    -334.9909       3.4349   364.0
0.0855        -331.5651    -334.9483       3.3832   358.5
0.0860        -331.5752    -334.9196       3.3443   354.4
0.0865        -331.5858    -334.9190       3.3331   353.2
0.0870        -331.5978    -334.9486       3.3508   355.1
0.0875        -331.6103    -334.9957       3.3853   358.8
0.0880        -331.6227    -335.0405       3.4178   362.2
0.0885        -331.6352    -335.0670       3.4317   363.7
0.0890        -331.6470    -335.0659       3.4189   362.3
0.0895        -331.6581    -335.0416       3.3834   358.6
0.0900        -331.6694    -335.0083       3.3388   353.8
0.0905        -331.6812    -334.9810       3.2999   349.7
0.0910        -331.6931    -334.9669       3.2737   346.9
0.0915        -331.7059    -334.9632       3.2573   345.2
0.0920        -331.7186    -334.9592       3.2405   343.4
0.0925        -331.7311    -334.9435       3.2124   340.4
0.0930        -331.7423    -334.9125       3.1702   336.0
0.0935        -331.7525    -334.8776       3.1252   331.2
0.0940        -331.7628    -334.8588       3.0960   328.1
0.0945        -331.7736    -334.8700       3.0964   328.1
0.0950        -331.7851    -334.9115       3.1263   331.3
