Time (ps), Instantaneous temperature (K), Running average temperature (K), Target temperature (K)
0.0005, 21.4, 21.4, 345.0
0.001, 72.8, 47.099999999999994, 345.0
0.0015, 127.6, 73.93333333333332, 345.0
0.002, 165.9, 96.925, 345.0
0.0025, 181.2, 113.78, 345.0
0.003, 177.7, 124.43333333333332, 345.0
0.0035, 165.6, 130.31428571428572, 345.0
0.004, 156.4, 133.575, 345.0
0.0045, 159.7, 136.47777777777776, 345.0
0.005, 180.1, 140.83999999999997, 345.0
0.0055, 216.6, 147.72727272727272, 345.0
0.006, 263.3, 157.35833333333332, 345.0
0.0065, 310.9, 169.16923076923075, 345.0
0.007, 349.8, 182.07142857142858, 345.0
0.0075, 371.8, 194.72, 345.0
0.008, 373.8, 205.91250000000002, 345.0
0.0085, 360.9, 215.0294117647059, 345.0
0.009, 349.1, 222.4777777777778, 345.0
0.0095, 357.8, 229.60000000000002, 345.0
0.01, 394.0, 237.82000000000002, 345.0
0.0105, 445.0, 247.6857142857143, 345.0
0.011, 491.8, 258.7818181818182, 345.0
0.0115, 522.5, 270.24782608695654, 345.0
0.012, 535.8, 281.31250000000006, 345.0
0.0125, 536.9, 291.536, 345.0
0.013, 534.0, 300.8615384615385, 345.0
0.0135, 535.1, 309.537037037037, 345.0
0.014, 546.0, 317.98214285714283, 345.0
0.0145, 568.7, 326.6275862068966, 345.0
0.015, 600.7, 335.7633333333334, 345.0
0.0155, 636.0, 345.44838709677424, 345.0
0.016, 667.3, 355.50625, 345.0
0.0165, 687.6, 365.569696969697, 345.0
0.017, 691.8, 375.16470588235296, 345.0
0.0175, 678.9, 383.84285714285716, 345.0
0.018, 654.5, 391.3611111111111, 345.0
0.0185, 630.6, 397.82702702702704, 345.0
0.019, 621.2, 403.70526315789476, 345.0
0.0195, 631.5, 409.54615384615386, 345.0
0.02, 652.4, 415.6175, 345.0
0.0205, 669.0, 421.79756097560977, 345.0
0.021, 672.7, 427.7714285714286, 345.0
0.0215, 663.7, 433.25813953488375, 345.0
0.022, 647.9, 438.13636363636374, 345.0
0.0225, 632.2, 442.448888888889, 345.0
0.023, 621.9, 446.35000000000014, 345.0
0.0235, 619.2, 450.0276595744682, 345.0
