Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -320.1526    -320.3521       0.1995    21.4
0.0010        -320.1688    -320.8462       0.6774    72.8
0.0015        -320.1775    -321.3652       1.1877   127.6
0.0020        -320.1752    -321.7192       1.5439   165.9
0.0025        -320.1653    -321.8514       1.6861   181.2
0.0030        -320.1512    -321.8051       1.6539   177.7
0.0035        -320.1359    -321.6772       1.5413   165.6
0.0040        -320.1213    -321.5772       1.4559   156.4
0.0045        -320.1086    -321.5946       1.4860   159.7
0.0050        -320.0978    -321.7739       1.6760   180.1
0.0055        -320.0870    -322.1033       2.0163   216.6
0.0060        -320.0736    -322.5239       2.4503   263.3
0.0065        -320.0568    -322.9505       2.8937   310.9
0.0070        -320.0353    -323.2906       3.2553   349.8
0.0075        -320.0089    -323.4695       3.4606   371.8
0.0080        -319.9771    -323.4562       3.4791   373.8
0.0085        -319.9387    -323.2976       3.3589   360.9
0.0090        -319.8981    -323.1468       3.2487   349.1
0.0095        -319.8652    -323.1953       3.3301   357.8
0.0100        -319.8446    -323.5113       3.6666   394.0
0.0105        -319.8243    -323.9661       4.1417   445.0
0.0110        -319.7956    -324.3724       4.5767   491.8
0.0115        -319.7609    -324.6240       4.8631   522.5
0.0120        -319.7241    -324.7106       4.9865   535.8
0.0125        -319.6879    -324.6843       4.9964   536.9
0.0130        -319.6565    -324.6263       4.9698   534.0
0.0135        -319.6291    -324.6091       4.9800   535.1
0.0140        -319.6074    -324.6886       5.0813   546.0
0.0145        -319.5914    -324.8843       5.2929   568.7
0.0150        -319.5811    -325.1713       5.5902   600.7
0.0155        -319.5759    -325.4947       5.9188   636.0
0.0160        -319.5763    -325.7866       6.2102   667.3
0.0165        -319.5837    -325.9828       6.3991   687.6
0.0170        -319.5969    -326.0350       6.4381   691.8
0.0175        -319.6133    -325.9320       6.3187   678.9
0.0180        -319.6328    -325.7245       6.0917   654.5
0.0185        -319.6559    -325.5248       5.8689   630.6
0.0190        -319.6886    -325.4697       5.7810   621.2
0.0195        -319.7373    -325.6142       5.8769   631.5
0.0200        -319.7962    -325.8676       6.0715   652.4
0.0205        -319.8600    -326.0864       6.2264   669.0
0.0210        -319.9254    -326.1857       6.2603   672.7
0.0215        -319.9943    -326.1713       6.1769   663.7
0.0220        -320.0688    -326.0988       6.0300   647.9
0.0225        -320.1488    -326.0329       5.8841   632.2
