Time (ps), Instantaneous temperature (K), Running average temperature (K), Target temperature (K), Total energy (eV), Potential energy (eV), Kinetic energy (eV)
0.0005, 317.5, 317.5, 350.0, -331.5771, -334.5733, 2.9962
0.001, 330.0, 323.75, 350.0, -331.578, -334.6916, 3.1136
0.0015, 341.2, 329.56666666666666, 350.0, -331.578, -334.7974, 3.2194
0.002, 349.9, 334.65, 350.0, -331.5774, -334.8791, 3.3017
0.0025, 356.1, 338.93999999999994, 350.0, -331.5759, -334.9365, 3.3606
0.003, 361.2, 342.6499999999999, 350.0, -331.5744, -334.9828, 3.4084
0.0035, 366.8, 346.09999999999997, 350.0, -331.573, -335.0343, 3.4613
0.004, 374.0, 349.5875, 350.0, -331.573, -335.1024, 3.5294
0.0045, 382.6, 353.25555555555553, 350.0, -331.5742, -335.1848, 3.6106
0.005, 391.2, 357.04999999999995, 350.0, -331.5763, -335.2673, 3.6911
0.0055, 397.3, 360.7090909090909, 350.0, -331.5784, -335.3271, 3.7488
0.006, 399.6, 363.95, 350.0, -331.5804, -335.3506, 3.7702
0.0065, 398.1, 366.5769230769231, 350.0, -331.5822, -335.3389, 3.7567
0.007, 394.4, 368.5642857142857, 350.0, -331.5842, -335.306, 3.7218
0.0075, 390.9, 370.0533333333333, 350.0, -331.5866, -335.2753, 3.6887
0.008, 390.2, 371.31249999999994, 350.0, -331.59, -335.2723, 3.6824
0.0085, 394.3, 372.6647058823529, 350.0, -331.5952, -335.316, 3.7208
0.009, 403.6, 374.3833333333333, 350.0, -331.6021, -335.41, 3.8079
0.0095, 416.5, 376.59999999999997, 350.0, -331.6113, -335.5415, 3.9302
0.01, 429.9, 379.265, 350.0, -331.6223, -335.6787, 4.0564
0.0105, 439.6, 382.1380952380952, 350.0, -331.6344, -335.7823, 4.1479
0.011, 441.9, 384.8545454545454, 350.0, -331.6476, -335.8174, 4.1698
0.0115, 434.8, 387.0260869565217, 350.0, -331.6601, -335.7624, 4.1023
0.012, 418.8, 388.3499999999999, 350.0, -331.6714, -335.6237, 3.9522
0.0125, 397.8, 388.7279999999999, 350.0, -331.6823, -335.4362, 3.7539
0.013, 377.0, 388.27692307692297, 350.0, -331.6933, -335.2505, 3.5572
0.0135, 360.9, 387.26296296296283, 350.0, -331.7061, -335.1119, 3.4058
0.014, 351.4, 385.9821428571427, 350.0, -331.7205, -335.0366, 3.3161
0.0145, 346.9, 384.63448275862055, 350.0, -331.7358, -335.009, 3.2731
0.015, 343.8, 383.2733333333332, 350.0, -331.7512, -334.9955, 3.2444
0.0155, 339.0, 381.84516129032244, 350.0, -331.765, -334.9636, 3.1986
0.016, 330.6, 380.24374999999986, 350.0, -331.7773, -334.8972, 3.1199
0.0165, 319.3, 378.39696969696956, 350.0, -331.7883, -334.8007, 3.0125
0.017, 307.0, 376.29705882352926, 350.0, -331.798, -334.6947, 2.8967
0.0175, 296.6, 374.01999999999987, 350.0, -331.8073, -334.6055, 2.7983
0.018, 290.5, 371.6999999999999, 350.0, -331.8162, -334.5569, 2.7408
0.0185, 290.2, 369.49729729729717, 350.0, -331.8256, -334.564, 2.7383
0.019, 295.7, 367.5552631578947, 350.0, -331.8352, -334.6256, 2.7904
0.0195, 305.6, 365.9666666666666, 350.0, -331.8453, -334.7288, 2.8834
0.02, 317.5, 364.75499999999994, 350.0, -331.8552, -334.8508, 2.9955
0.0205, 329.0, 363.88292682926823, 350.0, -331.8651, -334.9693, 3.1042
0.021, 338.1, 363.26904761904757, 350.0, -331.8748, -335.0653, 3.1905
0.0215, 343.4, 362.806976744186, 350.0, -331.8842, -335.1245, 3.2403
0.022, 343.9, 362.37727272727267, 350.0, -331.8932, -335.1384, 3.2452
0.0225, 339.6, 361.871111111111, 350.0, -331.9015, -335.1064, 3.2049
0.023, 331.8, 361.21739130434776, 350.0, -331.9089, -335.0394, 3.1306
0.0235, 322.7, 360.39787234042547, 350.0, -331.9153, -334.9603, 3.045
0.024, 315.4, 359.4604166666666, 350.0, -331.9214, -334.8977, 2.9763
0.0245, 312.3, 358.4979591836734, 350.0, -331.9285, -334.8755, 2.947
0.025, 313.6, 357.5999999999999, 350.0, -331.9368, -334.8957, 2.9589
0.0255, 316.8, 356.7999999999999, 350.0, -331.9459, -334.9353, 2.9894
0.026, 318.5, 356.06346153846147, 350.0, -331.9537, -334.9587, 3.0051
0.0265, 316.2, 355.3113207547169, 350.0, -331.9593, -334.9434, 2.9841
0.027, 310.6, 354.48333333333323, 350.0, -331.9634, -334.8938, 2.9304
0.0275, 304.2, 353.56909090909085, 350.0, -331.9664, -334.8365, 2.8702
0.028, 300.7, 352.62499999999994, 350.0, -331.9694, -334.8069, 2.8375
0.0285, 302.7, 351.7491228070175, 350.0, -331.9736, -334.8295, 2.8559
0.029, 309.9, 351.0275862068965, 350.0, -331.9791, -334.9035, 2.9244
0.0295, 319.9, 350.5, 350.0, -331.9849, -335.0031, 3.0183
0.03, 329.1, 350.1433333333333, 350.0, -331.9899, -335.0949, 3.105
0.0305, 335.0, 349.8950819672131, 350.0, -331.9934, -335.1544, 3.1611
0.031, 337.2, 349.69032258064516, 350.0, -331.9957, -335.1773, 3.1815
0.0315, 336.7, 349.484126984127, 350.0, -331.9979, -335.1747, 3.1767
0.032, 335.1, 349.259375, 350.0, -332.0, -335.1619, 3.1618
0.0325, 333.5, 349.01692307692304, 350.0, -332.0032, -335.1499, 3.1467
0.033, 331.4, 348.75, 350.0, -332.0067, -335.1342, 3.1275
0.0335, 327.6, 348.4343283582089, 350.0, -332.0101, -335.1012, 3.0911
0.034, 320.8, 348.02794117647056, 350.0, -332.0124, -335.0399, 3.0275
0.0345, 311.5, 347.49855072463765, 350.0, -332.0134, -334.9523, 2.939
0.035, 301.1, 346.83571428571423, 350.0, -332.0135, -334.8544, 2.8409
0.0355, 291.8, 346.0605633802816, 350.0, -332.0137, -334.7672, 2.7534
0.036, 285.3, 345.2166666666666, 350.0, -332.014, -334.7062, 2.6922
0.0365, 282.2, 344.35342465753416, 350.0, -332.0142, -334.6774, 2.6632
0.037, 282.3, 343.5148648648648, 350.0, -332.0139, -334.6782, 2.6642
0.0375, 285.2, 342.73733333333325, 350.0, -332.0129, -334.7037, 2.6908
0.038, 290.1, 342.0447368421052, 350.0, -332.0117, -334.7493, 2.7376
0.0385, 296.7, 341.4558441558441, 350.0, -332.0094, -334.8086, 2.7993
0.039, 304.2, 340.97820512820505, 350.0, -332.007, -334.8777, 2.8707
0.0395, 311.8, 340.6088607594936, 350.0, -332.0045, -334.9468, 2.9422
0.04, 318.0, 340.32624999999996, 350.0, -332.001, -335.0012, 3.0002
0.0405, 321.7, 340.09629629629626, 350.0, -331.9966, -335.0319, 3.0353
0.041, 323.2, 339.89024390243895, 350.0, -331.991, -335.0405, 3.0494
0.0415, 323.8, 339.6963855421686, 350.0, -331.9847, -335.0404, 3.0557
0.042, 325.5, 339.5273809523809, 350.0, -331.9789, -335.0508, 3.0719
0.0425, 329.3, 339.4070588235293, 350.0, -331.9737, -335.0812, 3.1075
0.043, 334.7, 339.3523255813953, 350.0, -331.9686, -335.1272, 3.1586
0.0435, 340.6, 339.3666666666666, 350.0, -331.9641, -335.1777, 3.2136
0.044, 344.9, 339.4295454545454, 350.0, -331.9593, -335.2134, 3.2541
0.0445, 345.8, 339.50112359550553, 350.0, -331.9537, -335.2163, 3.2626
0.045, 342.4, 339.5333333333333, 350.0, -331.9474, -335.178, 3.2306
0.0455, 334.9, 339.48241758241755, 350.0, -331.9405, -335.1009, 3.1604
0.046, 325.0, 339.325, 350.0, -331.9333, -334.9997, 3.0663
0.0465, 314.6, 339.0591397849462, 350.0, -331.9261, -334.8949, 2.9689
0.047, 306.6, 338.713829787234, 350.0, -331.9182, -334.8111, 2.8929
0.0475, 303.6, 338.34421052631575, 350.0, -331.9109, -334.7758, 2.8649
0.048, 307.6, 338.02395833333327, 350.0, -331.9043, -334.8065, 2.9022
0.0485, 318.1, 337.81855670103084, 350.0, -331.8989, -334.9006, 3.0017
0.049, 332.1, 337.7602040816326, 350.0, -331.8939, -335.0277, 3.1338
0.0495, 344.6, 337.8292929292928, 350.0, -331.8883, -335.1404, 3.2521
0.05, 351.4, 337.9649999999999, 350.0, -331.8803, -335.1963, 3.316
0.0505, 351.3, 338.09702970297025, 350.0, -331.8699, -335.1844, 3.3146
0.051, 346.4, 338.17843137254897, 350.0, -331.8586, -335.1276, 3.269
0.0515, 340.8, 338.20388349514565, 350.0, -331.8481, -335.0639, 3.2158
0.052, 337.4, 338.19615384615383, 350.0, -331.8391, -335.0232, 3.1841
0.0525, 337.4, 338.18857142857144, 350.0, -331.831, -335.0148, 3.1839
0.053, 340.0, 338.2056603773585, 350.0, -331.8234, -335.032, 3.2086
0.0535, 343.8, 338.2579439252337, 350.0, -331.8154, -335.0593, 3.2438
0.054, 347.2, 338.3407407407408, 350.0, -331.8076, -335.0835, 3.2759
0.0545, 348.9, 338.43761467889914, 350.0, -331.7992, -335.0919, 3.2926
0.055, 348.4, 338.52818181818185, 350.0, -331.7906, -335.0777, 3.2872
0.0555, 345.6, 338.5918918918919, 350.0, -331.7816, -335.0425, 3.2609
0.056, 341.2, 338.6151785714286, 350.0, -331.773, -334.9922, 3.2192
0.0565, 335.6, 338.58849557522126, 350.0, -331.7642, -334.931, 3.1668
0.057, 329.5, 338.50877192982455, 350.0, -331.7556, -334.8646, 3.109
0.0575, 323.6, 338.3791304347826, 350.0, -331.7465, -334.7997, 3.0532
0.058, 319.0, 338.21206896551723, 350.0, -331.7374, -334.7475, 3.01
0.0585, 316.9, 338.02991452991455, 350.0, -331.7283, -334.7183, 2.99
0.059, 317.7, 337.857627118644, 350.0, -331.7196, -334.717, 2.9974
0.0595, 320.8, 337.7142857142857, 350.0, -331.7111, -334.7382, 3.0271
0.06, 325.0, 337.60833333333335, 350.0, -331.7025, -334.769, 3.0666
0.0605, 328.9, 337.53636363636366, 350.0, -331.6924, -334.7957, 3.1034
0.061, 331.8, 337.4893442622951, 350.0, -331.6819, -334.813, 3.1311
0.0615, 333.8, 337.459349593496, 350.0, -331.6711, -334.8206, 3.1495
0.062, 334.9, 337.4387096774194, 350.0, -331.6597, -334.82, 3.1603
0.0625, 335.6, 337.42400000000004, 350.0, -331.6483, -334.8149, 3.1666
0.063, 336.2, 337.41428571428577, 350.0, -331.6373, -334.8093, 3.172
0.0635, 336.6, 337.40787401574806, 350.0, -331.6264, -334.8029, 3.1765
0.064, 337.0, 337.4046875, 350.0, -331.6143, -334.7943, 3.18
0.0645, 337.8, 337.40775193798453, 350.0, -331.6023, -334.7895, 3.1872
0.065, 339.7, 337.42538461538464, 350.0, -331.5903, -334.7953, 3.205
0.0655, 343.6, 337.4725190839695, 350.0, -331.5781, -334.8204, 3.2423
0.066, 350.5, 337.5712121212121, 350.0, -331.5662, -334.8737, 3.3076
0.0665, 360.5, 337.7436090225564, 350.0, -331.5549, -334.9565, 3.4016
0.067, 372.2, 338.0007462686567, 350.0, -331.5445, -335.0568, 3.5123
0.0675, 383.0, 338.33407407407407, 350.0, -331.5338, -335.1478, 3.614
0.068, 389.8, 338.71250000000003, 350.0, -331.5231, -335.2014, 3.6783
0.0685, 390.7, 339.0919708029197, 350.0, -331.5116, -335.1983, 3.6867
0.069, 385.9, 339.4311594202899, 350.0, -331.4991, -335.1405, 3.6414
0.0695, 378.3, 339.7107913669065, 350.0, -331.4858, -335.055, 3.5692
0.07, 372.6, 339.9457142857143, 350.0, -331.473, -334.989, 3.516
0.0705, 373.8, 340.1858156028369, 350.0, -331.4624, -334.9891, 3.5267
0.071, 383.6, 340.4915492957747, 350.0, -331.4543, -335.0735, 3.6192
0.0715, 399.9, 340.90699300699305, 350.0, -331.4479, -335.2211, 3.7732
0.072, 418.0, 341.44236111111115, 350.0, -331.4421, -335.3868, 3.9447
0.0725, 433.4, 342.07655172413797, 350.0, -331.4354, -335.5246, 4.0891
0.073, 443.0, 342.7678082191781, 350.0, -331.4285, -335.6082, 4.1797
0.0735, 446.0, 343.4700680272109, 350.0, -331.4227, -335.6314, 4.2086
0.074, 443.5, 344.145945945946, 350.0, -331.4174, -335.6019, 4.1845
0.0745, 437.0, 344.76912751677855, 350.0, -331.414, -335.5373, 4.1233
0.075, 428.4, 345.3266666666667, 350.0, -331.4117, -335.4544, 4.0428
0.0755, 420.1, 345.8218543046358, 350.0, -331.4098, -335.3737, 3.9638
0.076, 414.1, 346.271052631579, 350.0, -331.41, -335.3171, 3.9071
0.0765, 411.9, 346.70000000000005, 350.0, -331.4119, -335.299, 3.887
0.077, 413.7, 347.135064935065, 350.0, -331.4163, -335.3199, 3.9036
0.0775, 417.4, 347.5883870967742, 350.0, -331.4221, -335.3605, 3.9384
0.078, 420.0, 348.05256410256413, 350.0, -331.4291, -335.3917, 3.9626
0.0785, 418.8, 348.50318471337584, 350.0, -331.4358, -335.3879, 3.9521
0.079, 412.9, 348.9107594936709, 350.0, -331.4426, -335.339, 3.8964
0.0795, 403.1, 349.2515723270441, 350.0, -331.4492, -335.2524, 3.8032
0.08, 391.4, 349.51500000000004, 350.0, -331.4565, -335.1496, 3.6931
0.0805, 380.0, 349.70434782608703, 350.0, -331.4648, -335.0509, 3.5861
0.081, 370.4, 349.83209876543214, 350.0, -331.4736, -334.9682, 3.4946
0.0815, 363.3, 349.9147239263805, 350.0, -331.4823, -334.9103, 3.428
0.082, 359.6, 349.97378048780496, 350.0, -331.4916, -334.8852, 3.3936
0.0825, 359.8, 350.0333333333334, 350.0, -331.5012, -334.8966, 3.3955
0.083, 363.1, 350.11204819277117, 350.0, -331.5127, -334.9393, 3.4265
0.0835, 367.3, 350.21497005988033, 350.0, -331.5244, -334.9902, 3.4658
0.084, 369.6, 350.3303571428572, 350.0, -331.536, -335.0237, 3.4877
0.0845, 368.4, 350.437278106509, 350.0, -331.5466, -335.0229, 3.4763
0.085, 364.0, 350.5170588235295, 350.0, -331.556, -334.9909, 3.4349
0.0855, 358.5, 350.5637426900586, 350.0, -331.5651, -334.9483, 3.3832
0.086, 354.4, 350.586046511628, 350.0, -331.5752, -334.9196, 3.3443
0.0865, 353.2, 350.60115606936427, 350.0, -331.5858, -334.919, 3.3331
0.087, 355.1, 350.62701149425294, 350.0, -331.5978, -334.9486, 3.3508
0.0875, 358.8, 350.67371428571437, 350.0, -331.6103, -334.9957, 3.3853
0.088, 362.2, 350.73920454545464, 350.0, -331.6227, -335.0405, 3.4178
0.0885, 363.7, 350.81242937853114, 350.0, -331.6352, -335.067, 3.4317
0.089, 362.3, 350.8769662921349, 350.0, -331.647, -335.0659, 3.4189
0.0895, 358.6, 350.92011173184363, 350.0, -331.6581, -335.0416, 3.3834
0.09, 353.8, 350.9361111111112, 350.0, -331.6694, -335.0083, 3.3388
0.0905, 349.7, 350.92928176795584, 350.0, -331.6812, -334.981, 3.2999
0.091, 346.9, 350.9071428571429, 350.0, -331.6931, -334.9669, 3.2737
0.0915, 345.2, 350.87595628415306, 350.0, -331.7059, -334.9632, 3.2573
0.092, 343.4, 350.83532608695657, 350.0, -331.7186, -334.9592, 3.2405
0.0925, 340.4, 350.778918918919, 350.0, -331.7311, -334.9435, 3.2124
0.093, 336.0, 350.69946236559144, 350.0, -331.7423, -334.9125, 3.1702
0.0935, 331.2, 350.5951871657755, 350.0, -331.7525, -334.8776, 3.1252
0.094, 328.1, 350.47553191489374, 350.0, -331.7628, -334.8588, 3.096
0.0945, 328.1, 350.357142857143, 350.0, -331.7736, -334.87, 3.0964
0.095, 331.3, 350.25684210526333, 350.0, -331.7851, -334.9115, 3.1263
0.0955, 336.3, 350.18376963350806, 350.0, -331.7972, -334.9706, 3.1733
0.096, 341.0, 350.1359375000002, 350.0, -331.8087, -335.0268, 3.218
0.0965, 343.8, 350.10310880829036, 350.0, -331.82, -335.0639, 3.2438
0.097, 343.3, 350.0680412371136, 350.0, -331.8314, -335.0712, 3.2398
0.0975, 339.2, 350.0123076923079, 350.0, -331.842, -335.0431, 3.2011
0.098, 331.9, 349.91989795918386, 350.0, -331.8516, -334.9831, 3.1315
0.0985, 322.4, 349.7802030456854, 350.0, -331.8609, -334.9028, 3.0419
0.099, 312.6, 349.5924242424244, 350.0, -331.8692, -334.819, 2.9499
0.0995, 304.7, 349.3668341708544, 350.0, -331.8771, -334.7521, 2.875
0.1, 300.2, 349.12100000000015, 350.0, -331.8854, -334.7181, 2.8327
0.1005, 299.5, 348.87412935323397, 350.0, -331.894, -334.7205, 2.8265
0.101, 301.7, 348.64059405940606, 350.0, -331.9028, -334.75, 2.8471
0.1015, 304.8, 348.42463054187203, 350.0, -331.9112, -334.7874, 2.8762
0.102, 306.6, 348.2196078431374, 350.0, -331.9192, -334.8123, 2.8931
0.1025, 305.4, 348.0107317073172, 350.0, -331.9257, -334.8079, 2.8822
0.103, 300.9, 347.78203883495155, 350.0, -331.931, -334.7706, 2.8396
0.1035, 294.2, 347.5231884057972, 350.0, -331.9351, -334.7114, 2.7764
