Time (ps), Instantaneous temperature (K), Running average temperature (K), Target temperature (K), Total energy (eV), Potential energy (eV), Kinetic energy (eV)
0.0005, 21.4, 21.4, 350.0, -320.1526, -320.3521, 0.1995
0.001, 72.8, 47.099999999999994, 350.0, -320.1688, -320.8462, 0.6774
0.0015, 127.6, 73.93333333333332, 350.0, -320.1775, -321.3652, 1.1877
0.002, 165.9, 96.925, 350.0, -320.1752, -321.7192, 1.5439
0.0025, 181.2, 113.78, 350.0, -320.1653, -321.8514, 1.6861
0.003, 177.7, 124.43333333333332, 350.0, -320.1512, -321.8051, 1.6539
0.0035, 165.6, 130.31428571428572, 350.0, -320.1359, -321.6772, 1.5413
0.004, 156.4, 133.575, 350.0, -320.1213, -321.5772, 1.4559
0.0045, 159.7, 136.47777777777776, 350.0, -320.1086, -321.5946, 1.486
0.005, 180.1, 140.83999999999997, 350.0, -320.0978, -321.7739, 1.676
0.0055, 216.6, 147.72727272727272, 350.0, -320.087, -322.1033, 2.0163
0.006, 263.3, 157.35833333333332, 350.0, -320.0736, -322.5239, 2.4503
0.0065, 310.9, 169.16923076923075, 350.0, -320.0568, -322.9505, 2.8937
0.007, 349.8, 182.07142857142858, 350.0, -320.0353, -323.2906, 3.2553
0.0075, 371.8, 194.72, 350.0, -320.0089, -323.4695, 3.4606
0.008, 373.8, 205.91250000000002, 350.0, -319.9771, -323.4562, 3.4791
0.0085, 360.9, 215.0294117647059, 350.0, -319.9387, -323.2976, 3.3589
0.009, 349.1, 222.4777777777778, 350.0, -319.8981, -323.1468, 3.2487
0.0095, 357.8, 229.60000000000002, 350.0, -319.8652, -323.1953, 3.3301
0.01, 394.0, 237.82000000000002, 350.0, -319.8446, -323.5113, 3.6666
0.0105, 445.0, 247.6857142857143, 350.0, -319.8243, -323.9661, 4.1417
0.011, 491.8, 258.7818181818182, 350.0, -319.7956, -324.3724, 4.5767
0.0115, 522.5, 270.24782608695654, 350.0, -319.7609, -324.624, 4.8631
0.012, 535.8, 281.31250000000006, 350.0, -319.7241, -324.7106, 4.9865
0.0125, 536.9, 291.536, 350.0, -319.6879, -324.6843, 4.9964
0.013, 534.0, 300.8615384615385, 350.0, -319.6565, -324.6263, 4.9698
0.0135, 535.1, 309.537037037037, 350.0, -319.6291, -324.6091, 4.98
0.014, 546.0, 317.98214285714283, 350.0, -319.6074, -324.6886, 5.0813
0.0145, 568.7, 326.6275862068966, 350.0, -319.5914, -324.8843, 5.2929
0.015, 600.7, 335.7633333333334, 350.0, -319.5811, -325.1713, 5.5902
0.0155, 636.0, 345.44838709677424, 350.0, -319.5759, -325.4947, 5.9188
0.016, 667.3, 355.50625, 350.0, -319.5763, -325.7866, 6.2102
0.0165, 687.6, 365.569696969697, 350.0, -319.5837, -325.9828, 6.3991
0.017, 691.8, 375.16470588235296, 350.0, -319.5969, -326.035, 6.4381
0.0175, 678.9, 383.84285714285716, 350.0, -319.6133, -325.932, 6.3187
0.018, 654.5, 391.3611111111111, 350.0, -319.6328, -325.7245, 6.0917
0.0185, 630.6, 397.82702702702704, 350.0, -319.6559, -325.5248, 5.8689
0.019, 621.2, 403.70526315789476, 350.0, -319.6886, -325.4697, 5.781
0.0195, 631.5, 409.54615384615386, 350.0, -319.7373, -325.6142, 5.8769
0.02, 652.4, 415.6175, 350.0, -319.7962, -325.8676, 6.0715
0.0205, 669.0, 421.79756097560977, 350.0, -319.86, -326.0864, 6.2264
0.021, 672.7, 427.7714285714286, 350.0, -319.9254, -326.1857, 6.2603
0.0215, 663.7, 433.25813953488375, 350.0, -319.9943, -326.1713, 6.1769
0.022, 647.9, 438.13636363636374, 350.0, -320.0688, -326.0988, 6.03
0.0225, 632.2, 442.448888888889, 350.0, -320.1488, -326.0329, 5.8841
0.023, 621.9, 446.35000000000014, 350.0, -320.2355, -326.0236, 5.7881
0.0235, 619.2, 450.0276595744682, 350.0, -320.3283, -326.0909, 5.7625
0.024, 623.2, 453.6354166666668, 350.0, -320.4283, -326.2278, 5.7995
0.0245, 630.6, 457.24693877551033, 350.0, -320.5354, -326.4041, 5.8688
0.025, 637.4, 460.85000000000014, 350.0, -320.6494, -326.5817, 5.9324
0.0255, 640.2, 464.36666666666684, 350.0, -320.7704, -326.7282, 5.9578
0.026, 636.5, 467.67692307692323, 350.0, -320.8961, -326.82, 5.9239
0.0265, 626.2, 470.667924528302, 350.0, -321.0254, -326.8537, 5.8283
0.027, 610.7, 473.2611111111113, 350.0, -321.1585, -326.8421, 5.6836
0.0275, 591.2, 475.40545454545475, 350.0, -321.2938, -326.7962, 5.5024
0.028, 568.3, 477.06428571428586, 350.0, -321.4282, -326.7169, 5.2887
0.0285, 543.0, 478.22105263157914, 350.0, -321.56, -326.6134, 5.0534
0.029, 518.7, 478.91896551724153, 350.0, -321.6881, -326.5156, 4.8275
0.0295, 500.3, 479.28135593220355, 350.0, -321.8149, -326.4709, 4.656
0.03, 489.4, 479.45000000000016, 350.0, -321.9455, -326.5, 4.5545
0.0305, 481.4, 479.48196721311496, 350.0, -322.0767, -326.5572, 4.4805
0.031, 470.4, 479.33548387096795, 350.0, -322.2045, -326.5824, 4.3779
0.0315, 454.7, 478.9444444444447, 350.0, -322.3279, -326.5598, 4.2319
0.032, 437.3, 478.2937500000002, 350.0, -322.4475, -326.5169, 4.0694
0.0325, 422.3, 477.4323076923079, 350.0, -322.5649, -326.4952, 3.9303
0.033, 412.8, 476.4530303030305, 350.0, -322.6815, -326.5232, 3.8417
0.0335, 408.9, 475.4447761194032, 350.0, -322.799, -326.6045, 3.8055
0.034, 408.5, 474.46029411764727, 350.0, -322.917, -326.7185, 3.8016
0.0345, 408.6, 473.50579710144945, 350.0, -323.0358, -326.8387, 3.8029
0.035, 407.0, 472.55571428571443, 350.0, -323.1546, -326.9421, 3.7875
0.0355, 402.4, 471.56760563380294, 350.0, -323.2723, -327.0173, 3.7449
0.036, 395.5, 470.51111111111123, 350.0, -323.3883, -327.0693, 3.6809
0.0365, 387.9, 469.3794520547947, 350.0, -323.5035, -327.1134, 3.61
0.037, 380.5, 468.1783783783785, 350.0, -323.6182, -327.1599, 3.5417
0.0375, 372.8, 466.90666666666687, 350.0, -323.7315, -327.2006, 3.4691
0.038, 362.5, 465.5328947368423, 350.0, -323.8425, -327.2158, 3.3733
0.0385, 348.4, 464.01168831168854, 350.0, -323.9489, -327.1917, 3.2428
0.039, 332.0, 462.31923076923096, 350.0, -324.0485, -327.138, 3.0894
0.0395, 316.6, 460.47468354430396, 350.0, -324.1434, -327.0903, 2.9469
0.04, 305.8, 458.5412500000002, 350.0, -324.2358, -327.0822, 2.8465
0.0405, 299.9, 456.58271604938295, 350.0, -324.3271, -327.1182, 2.7911
0.041, 296.5, 454.63048780487827, 350.0, -324.4165, -327.1761, 2.7597
0.0415, 293.5, 452.68915662650625, 350.0, -324.5032, -327.2342, 2.7311
0.042, 289.9, 450.75119047619074, 350.0, -324.5879, -327.2862, 2.6982
0.0425, 286.3, 448.8164705882356, 350.0, -324.671, -327.3352, 2.6642
0.043, 283.0, 446.8883720930235, 350.0, -324.7527, -327.3869, 2.6342
0.0435, 280.4, 444.97471264367846, 350.0, -324.8333, -327.443, 2.6098
0.044, 278.2, 443.0795454545457, 350.0, -324.9129, -327.5016, 2.5887
0.0445, 276.0, 441.2022471910115, 350.0, -324.9905, -327.5589, 2.5683
0.045, 273.9, 439.3433333333336, 350.0, -325.0671, -327.6162, 2.5491
0.0455, 272.3, 437.5076923076926, 350.0, -325.1426, -327.6765, 2.5339
0.046, 271.6, 435.7043478260872, 350.0, -325.2167, -327.7444, 2.5277
0.0465, 272.2, 433.94623655914, 350.0, -325.2909, -327.8244, 2.5336
0.047, 273.8, 432.2425531914896, 350.0, -325.365, -327.9132, 2.5481
0.0475, 275.3, 430.59052631578976, 350.0, -325.4392, -328.0016, 2.5623
0.048, 275.4, 428.97395833333366, 350.0, -325.5134, -328.0764, 2.5629
