Radial coordinate (angstrom), Histogram of distances (counts), Histogram divided by 4*pi*r^2 (counts)
1.1, 0, 0.0
1.2, 0, 0.0
1.3, 0, 0.0
1.4, 0, 0.0
1.5, 0, 0.0
1.6, 0, 0.0
1.7000000000000002, 0, 0.0
1.8, 0, 0.0
1.9, 13, 0.286567072049119
2.0, 141, 2.8051058719946553
2.1, 779, 14.056882161971256
2.2, 2095, 34.44520720842156
2.3, 3932, 59.14907714908626
2.4000000000000004, 3810, 52.63718169966329
2.5, 3038, 38.681017369054246
2.6, 1939, 22.82554990053144
2.7, 1414, 15.435191325921808
2.8, 900, 9.135168927468484
2.9000000000000004, 371, 3.510492502205301
3.0, 601, 5.314006711012728
3.1, 549, 4.546101132021359
3.2, 677, 5.26112775748111
3.3000000000000003, 728, 5.319779548709816
3.4000000000000004, 1269, 8.735623822820724
3.5, 1043, 6.775453291626402
3.6, 1784, 10.954182811571808
3.7, 1627, 9.457454069047248
3.8000000000000003, 2127, 11.721695427855309
3.9000000000000004, 2143, 11.212000100129245
4.0, 2410, 11.986356651608368
4.1, 2906, 13.756819292833073
4.2, 3147, 14.196729192465835
4.300000000000001, 3564, 15.338783590576389
4.4, 3359, 13.806855729485443
4.5, 4004, 15.734725731850592
4.6, 3309, 12.44432199175524
4.7, 3241, 11.675445236777563
4.800000000000001, 2828, 9.767582010934895
4.9, 2571, 8.521186145132503
5.0, 3052, 9.714817726329292
5.1000000000000005, 3263, 9.983133012473171
5.2, 3502, 10.30622431042562
5.3, 2926, 8.289201913258914
5.4, 2716, 7.411948309972354
5.5, 2225, 5.853218981478795
5.6000000000000005, 1863, 4.727449919964939
5.7, 2367, 5.797472303762946
5.800000000000001, 2049, 4.847034458907454
5.9, 1793, 4.098891309447979
6.0, 0, 0.0
6.1000000000000005, 0, 0.0
6.2, 0, 0.0
6.300000000000001, 0, 0.0
6.4, 0, 0.0
6.5, 0, 0.0
6.6000000000000005, 0, 0.0
6.7, 0, 0.0
6.800000000000001, 0, 0.0
6.9, 0, 0.0
7.0, 0, 0.0
