Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -330.9225    -334.3423       3.4198   362.4
0.0010        -330.9231    -334.2790       3.3559   355.6
0.0015        -330.9211    -334.1387       3.2176   341.0
0.0020        -330.9180    -333.9582       3.0402   322.2
0.0025        -330.9148    -333.7934       2.8787   305.1
0.0030        -330.9130    -333.6962       2.7832   295.0
0.0035        -330.9128    -333.6903       2.7774   294.3
0.0040        -330.9137    -333.7659       2.8522   302.3
0.0045        -330.9133    -333.8946       2.9813   315.9
0.0050        -330.9127    -334.0501       3.1374   332.5
0.0055        -330.9124    -334.2069       3.2945   349.1
0.0060        -330.9125    -334.3335       3.4210   362.5
0.0065        -330.9115    -334.3959       3.4843   369.3
0.0070        -330.9088    -334.3779       3.4691   367.7
0.0075        -330.9034    -334.2978       3.3943   359.7
0.0080        -330.8976    -334.2125       3.3149   351.3
0.0085        -330.8932    -334.1912       3.2979   349.5
0.0090        -330.8920    -334.2786       3.3866   358.9
0.0095        -330.8939    -334.4708       3.5770   379.1
0.0100        -330.8973    -334.7188       3.8215   405.0
0.0105        -330.9001    -334.9546       4.0545   429.7
0.0110        -330.9030    -335.1231       4.2201   447.2
0.0115        -330.9058    -335.1949       4.2891   454.6
0.0120        -330.9083    -335.1709       4.2626   451.7
0.0125        -330.9122    -335.0774       4.1652   441.4
0.0130        -330.9174    -334.9482       4.0309   427.2
0.0135        -330.9242    -334.8152       3.8910   412.4
0.0140        -330.9320    -334.7010       3.7690   399.4
0.0145        -330.9401    -334.6238       3.6837   390.4
0.0150        -330.9485    -334.6015       3.6530   387.1
0.0155        -330.9594    -334.6454       3.6860   390.6
0.0160        -330.9719    -334.7460       3.7741   400.0
0.0165        -330.9861    -334.8772       3.8911   412.4
0.0170        -331.0011    -335.0059       4.0049   424.4
0.0175        -331.0165    -335.1054       4.0889   433.3
0.0180        -331.0337    -335.1611       4.1274   437.4
0.0185        -331.0515    -335.1678       4.1163   436.2
0.0190        -331.0701    -335.1297       4.0597   430.2
0.0195        -331.0899    -335.0558       3.9659   420.3
0.0200        -331.1095    -334.9549       3.8454   407.5
0.0205        -331.1289    -334.8448       3.7159   393.8
0.0210        -331.1477    -334.7506       3.6029   381.8
0.0215        -331.1673    -334.6993       3.5320   374.3
0.0220        -331.1886    -334.7044       3.5158   372.6
0.0225        -331.2117    -334.7566       3.5450   375.7
0.0230        -331.2361    -334.8244       3.5883   380.3
0.0235        -331.2609    -334.8657       3.6049   382.0
0.0240        -331.2842    -334.8453       3.5611   377.4
0.0245        -331.3054    -334.7524       3.4470   365.3
0.0250        -331.3245    -334.6081       3.2836   348.0
0.0255        -331.3420    -334.4580       3.1160   330.2
0.0260        -331.3591    -334.3549       2.9958   317.5
0.0265        -331.3780    -334.3375       2.9595   313.6
0.0270        -331.3985    -334.4094       3.0109   319.1
0.0275        -331.4196    -334.5446       3.1250   331.2
0.0280        -331.4416    -334.7060       3.2645   346.0
0.0285        -331.4629    -334.8607       3.3977   360.1
0.0290        -331.4847    -334.9916       3.5069   371.7
0.0295        -331.5073    -335.0927       3.5855   380.0
0.0300        -331.5309    -335.1615       3.6306   384.8
0.0305        -331.5553    -335.1919       3.6366   385.4
0.0310        -331.5794    -335.1788       3.5994   381.5
0.0315        -331.6026    -335.1287       3.5261   373.7
0.0320        -331.6257    -335.0620       3.4364   364.2
0.0325        -331.6485    -334.9990       3.3506   355.1
0.0330        -331.6717    -334.9534       3.2817   347.8
0.0335        -331.6950    -334.9275       3.2325   342.6
0.0340        -331.7177    -334.9154       3.1977   338.9
0.0345        -331.7398    -334.9110       3.1711   336.1
