Time (ps), Instantaneous temperature (K), Running average temperature (K), Target temperature (K)
0.0005, 362.4, 362.4, 350.0
0.001, 355.6, 359.0, 350.0
0.0015, 341.0, 353.0, 350.0
0.002, 322.2, 345.3, 350.0
0.0025, 305.1, 337.26000000000005, 350.0
0.003, 295.0, 330.2166666666667, 350.0
0.0035, 294.3, 325.08571428571435, 350.0
0.004, 302.3, 322.23750000000007, 350.0
0.0045, 315.9, 321.5333333333334, 350.0
0.005, 332.5, 322.63000000000005, 350.0
0.0055, 349.1, 325.03636363636366, 350.0
0.006, 362.5, 328.15833333333336, 350.0
0.0065, 369.3, 331.323076923077, 350.0
0.007, 367.7, 333.92142857142863, 350.0
0.0075, 359.7, 335.64000000000004, 350.0
0.008, 351.3, 336.61875000000003, 350.0
0.0085, 349.5, 337.37647058823535, 350.0
0.009, 358.9, 338.57222222222225, 350.0
0.0095, 379.1, 340.70526315789476, 350.0
0.01, 405.0, 343.92, 350.0
0.0105, 429.7, 348.00476190476195, 350.0
0.011, 447.2, 352.51363636363635, 350.0
0.0115, 454.6, 356.95217391304345, 350.0
0.012, 451.7, 360.90000000000003, 350.0
0.0125, 441.4, 364.12, 350.0
0.013, 427.2, 366.54615384615386, 350.0
0.0135, 412.4, 368.24444444444447, 350.0
0.014, 399.4, 369.35714285714283, 350.0
0.0145, 390.4, 370.0827586206896, 350.0
0.015, 387.1, 370.65, 350.0
0.0155, 390.6, 371.2935483870968, 350.0
0.016, 400.0, 372.190625, 350.0
0.0165, 412.4, 373.40909090909093, 350.0
0.017, 424.4, 374.90882352941173, 350.0
0.0175, 433.3, 376.5771428571428, 350.0
0.018, 437.4, 378.26666666666665, 350.0
0.0185, 436.2, 379.8324324324324, 350.0
0.019, 430.2, 381.1578947368421, 350.0
0.0195, 420.3, 382.16153846153844, 350.0
0.02, 407.5, 382.79499999999996, 350.0
0.0205, 393.8, 383.0634146341463, 350.0
0.021, 381.8, 383.0333333333333, 350.0
0.0215, 374.3, 382.83023255813947, 350.0
0.022, 372.6, 382.5977272727272, 350.0
0.0225, 375.7, 382.44444444444434, 350.0
0.023, 380.3, 382.3978260869564, 350.0
0.0235, 382.0, 382.3893617021276, 350.0
0.024, 377.4, 382.2854166666666, 350.0
0.0245, 365.3, 381.938775510204, 350.0
0.025, 348.0, 381.25999999999993, 350.0
0.0255, 330.2, 380.2588235294117, 350.0
0.026, 317.5, 379.051923076923, 350.0
0.0265, 313.6, 377.8169811320754, 350.0
0.027, 319.1, 376.7296296296295, 350.0
0.0275, 331.2, 375.9018181818181, 350.0
0.028, 346.0, 375.3678571428571, 350.0
0.0285, 360.1, 375.0999999999999, 350.0
0.029, 371.7, 375.0413793103447, 350.0
0.0295, 380.0, 375.1254237288135, 350.0
0.03, 384.8, 375.2866666666666, 350.0
0.0305, 385.4, 375.45245901639333, 350.0
0.031, 381.5, 375.5499999999999, 350.0
0.0315, 373.7, 375.52063492063485, 350.0
0.032, 364.2, 375.34374999999994, 350.0
0.0325, 355.1, 375.0323076923076, 350.0
0.033, 347.8, 374.61969696969686, 350.0
0.0335, 342.6, 374.141791044776, 350.0
0.034, 338.9, 373.6235294117646, 350.0
0.0345, 336.1, 373.07971014492745, 350.0
0.035, 333.6, 372.5157142857142, 350.0
0.0355, 331.2, 371.9338028169013, 350.0
0.036, 328.8, 371.3347222222221, 350.0
0.0365, 327.2, 370.73013698630126, 350.0
0.037, 326.8, 370.1364864864864, 350.0
0.0375, 327.3, 369.56533333333323, 350.0
0.038, 327.7, 369.01447368421043, 350.0
0.0385, 326.4, 368.46103896103887, 350.0
0.039, 323.2, 367.88076923076915, 350.0
0.0395, 320.2, 367.27721518987335, 350.0
0.04, 320.1, 366.6874999999999, 350.0
0.0405, 324.9, 366.1716049382715, 350.0
0.041, 333.3, 365.770731707317, 350.0
0.0415, 341.9, 365.48313253012043, 350.0
0.042, 346.7, 365.2595238095238, 350.0
0.0425, 345.2, 365.0235294117647, 350.0
0.043, 337.6, 364.70465116279064, 350.0
0.0435, 326.2, 364.2620689655172, 350.0
0.044, 314.0, 363.69090909090903, 350.0
0.0445, 303.8, 363.01797752808983, 350.0
0.045, 297.1, 362.2855555555555, 350.0
0.0455, 294.0, 361.5351648351648, 350.0
0.046, 294.0, 360.8010869565217, 350.0
0.0465, 296.4, 360.1086021505376, 350.0
0.047, 300.3, 359.4723404255319, 350.0
0.0475, 304.6, 358.89473684210526, 350.0
0.048, 308.2, 358.3666666666666, 350.0
0.0485, 309.6, 357.86391752577316, 350.0
0.049, 308.0, 357.3551020408163, 350.0
0.0495, 303.1, 356.80707070707064, 350.0
0.05, 295.9, 356.198, 350.0
0.0505, 289.1, 355.53366336633655, 350.0
0.051, 285.8, 354.84999999999997, 350.0
0.0515, 288.3, 354.20388349514565, 350.0
0.052, 296.2, 353.6461538461538, 350.0
0.0525, 306.4, 353.19619047619045, 350.0
0.053, 315.1, 352.83679245283014, 350.0
0.0535, 319.5, 352.5252336448598, 350.0
0.054, 318.4, 352.2092592592592, 350.0
0.0545, 312.4, 351.8440366972477, 350.0
0.055, 303.0, 351.4, 350.0
0.0555, 292.5, 350.8693693693694, 350.0
0.056, 283.4, 350.2669642857143, 350.0
0.0565, 278.2, 349.629203539823, 350.0
0.057, 278.6, 349.00614035087716, 350.0
0.0575, 284.6, 348.4460869565217, 350.0
0.058, 295.1, 347.98620689655166, 350.0
0.0585, 307.7, 347.64188034188027, 350.0
0.059, 320.1, 347.4084745762711, 350.0
0.0595, 330.2, 347.26386554621837, 350.0
0.06, 336.7, 347.1758333333332, 350.0
0.0605, 339.5, 347.11239669421474, 350.0
0.061, 339.3, 347.0483606557376, 350.0
0.0615, 337.8, 346.9731707317072, 350.0
0.062, 336.1, 346.8854838709677, 350.0
0.0625, 334.8, 346.7887999999999, 350.0
0.063, 333.7, 346.68492063492056, 350.0
0.0635, 332.2, 346.57086614173215, 350.0
0.064, 329.7, 346.43906249999986, 350.0
0.0645, 325.9, 346.2798449612402, 350.0
0.065, 320.7, 346.08307692307676, 350.0
0.0655, 314.7, 345.8435114503815, 350.0
0.066, 308.8, 345.5628787878786, 350.0
0.0665, 303.9, 345.24962406015027, 350.0
0.067, 300.6, 344.9164179104476, 350.0
0.0675, 298.3, 344.571111111111, 350.0
0.068, 296.1, 344.2147058823528, 350.0
0.0685, 293.4, 343.84379562043785, 350.0
0.069, 290.4, 343.4565217391303, 350.0
0.0695, 288.9, 343.0640287769783, 350.0
0.07, 290.7, 342.6899999999999, 350.0
0.0705, 296.5, 342.3624113475176, 350.0
0.071, 305.2, 342.100704225352, 350.0
0.0715, 314.3, 341.9062937062936, 350.0
0.072, 320.5, 341.7576388888888, 350.0
0.0725, 321.7, 341.61931034482745, 350.0
0.073, 317.7, 341.45547945205465, 350.0
0.0735, 310.2, 341.24285714285696, 350.0
0.074, 301.9, 340.97702702702685, 350.0
0.0745, 294.7, 340.66644295301995, 350.0
0.075, 289.5, 340.32533333333316, 350.0
0.0755, 286.0, 339.9655629139071, 350.0
0.076, 283.9, 339.59671052631563, 350.0
0.0765, 283.3, 339.2287581699345, 350.0
0.077, 285.4, 338.87922077922065, 350.0
0.0775, 291.1, 338.57096774193536, 350.0
0.078, 300.3, 338.3256410256409, 350.0
0.0785, 311.4, 338.1541401273884, 350.0
0.079, 321.5, 338.04873417721507, 350.0
0.0795, 327.6, 337.9830188679244, 350.0
0.08, 328.7, 337.92499999999984, 350.0
0.0805, 326.5, 337.8540372670806, 350.0
0.081, 324.7, 337.77283950617266, 350.0
0.0815, 327.1, 337.70736196319, 350.0
0.082, 335.4, 337.69329268292665, 350.0
0.0825, 347.8, 337.75454545454534, 350.0
0.083, 360.1, 337.8891566265059, 350.0
0.0835, 367.7, 338.06766467065853, 350.0
0.084, 368.0, 338.24583333333317, 350.0
0.0845, 361.3, 338.38224852070994, 350.0
0.085, 350.1, 338.4511764705881, 350.0
0.0855, 337.6, 338.44619883040923, 350.0
0.086, 326.6, 338.3773255813952, 350.0
0.0865, 319.4, 338.26763005780333, 350.0
0.087, 317.5, 338.14827586206883, 350.0
0.0875, 321.3, 338.05199999999985, 350.0
0.088, 329.4, 338.00284090909076, 350.0
0.0885, 339.6, 338.0118644067795, 350.0
0.089, 348.9, 338.073033707865, 350.0
0.0895, 355.3, 338.1692737430167, 350.0
0.09, 358.7, 338.2833333333332, 350.0
0.0905, 360.8, 338.4077348066297, 350.0
0.091, 363.6, 338.54615384615374, 350.0
0.0915, 368.4, 338.70928961748626, 350.0
0.092, 374.8, 338.9054347826086, 350.0
0.0925, 380.9, 339.1324324324324, 350.0
0.093, 384.7, 339.3774193548386, 350.0
0.0935, 385.2, 339.622459893048, 350.0
0.094, 382.3, 339.8494680851063, 350.0
0.0945, 376.9, 340.04550264550255, 350.0
0.095, 370.8, 340.20736842105254, 350.0
0.0955, 365.2, 340.33821989528786, 350.0
0.096, 361.4, 340.4479166666666, 350.0
0.0965, 360.0, 340.54922279792737, 350.0
0.097, 360.7, 340.6530927835051, 350.0
0.0975, 363.1, 340.76820512820507, 350.0
0.098, 366.5, 340.8994897959183, 350.0
0.0985, 370.2, 341.04822335025375, 350.0
0.099, 373.1, 341.21010101010097, 350.0
0.0995, 374.2, 341.3758793969849, 350.0
0.1, 373.6, 341.537, 350.0
0.1005, 372.4, 341.69054726368154, 350.0
0.101, 372.7, 341.8440594059405, 350.0
0.1015, 376.4, 342.0142857142856, 350.0
0.102, 383.4, 342.21715686274496, 350.0
0.1025, 391.1, 342.4556097560975, 350.0
0.103, 395.7, 342.7140776699028, 350.0
0.1035, 394.2, 342.96280193236703, 350.0
0.104, 386.4, 343.17163461538445, 350.0
0.1045, 375.0, 343.32392344497595, 350.0
0.105, 363.7, 343.4209523809522, 350.0
0.1055, 355.5, 343.47819905213254, 350.0
0.106, 351.9, 343.5179245283017, 350.0
0.1065, 353.1, 343.5629107981219, 350.0
0.107, 357.8, 343.6294392523363, 350.0
0.1075, 364.3, 343.7255813953487, 350.0
0.108, 370.7, 343.8504629629628, 350.0
0.1085, 374.9, 343.9935483870966, 350.0
0.109, 375.5, 344.1380733944952, 350.0
0.1095, 372.1, 344.26575342465736, 350.0
0.11, 365.7, 344.36318181818166, 350.0
0.1105, 358.1, 344.4253393665157, 350.0
0.111, 352.6, 344.46216216216203, 350.0
0.1115, 351.9, 344.4955156950671, 350.0
0.112, 357.1, 344.5517857142856, 350.0
0.1125, 366.7, 344.6502222222221, 350.0
0.113, 376.9, 344.79292035398214, 350.0
0.1135, 383.6, 344.9638766519823, 350.0
0.114, 384.1, 345.1355263157894, 350.0
0.1145, 377.9, 345.2786026200872, 350.0
0.115, 366.5, 345.3708695652173, 350.0
0.1155, 353.3, 345.4051948051947, 350.0
0.116, 342.0, 345.3905172413792, 350.0
0.1165, 335.2, 345.3467811158797, 350.0
0.117, 334.0, 345.29829059829046, 350.0
0.1175, 337.9, 345.26680851063816, 350.0
0.118, 345.5, 345.26779661016934, 350.0
0.1185, 354.9, 345.30843881856526, 350.0
0.119, 363.7, 345.38571428571413, 350.0
0.1195, 368.9, 345.48410041840987, 350.0
0.12, 368.4, 345.5795833333331, 350.0
0.1205, 362.3, 345.64896265560145, 350.0
0.121, 353.7, 345.6822314049585, 350.0
0.1215, 347.4, 345.68930041152237, 350.0
0.122, 346.8, 345.69385245901617, 350.0
0.1225, 352.4, 345.72122448979565, 350.0
0.123, 361.2, 345.78414634146316, 350.0
0.1235, 369.1, 345.87854251012124, 350.0
0.124, 372.5, 345.985887096774, 350.0
0.1245, 369.7, 346.0811244979917, 350.0
0.125, 361.2, 346.14159999999976, 350.0
0.1255, 349.3, 346.154183266932, 350.0
0.126, 337.5, 346.119841269841, 350.0
0.1265, 329.2, 346.0529644268772, 350.0
0.127, 327.1, 345.9783464566927, 350.0
0.1275, 331.6, 345.9219607843135, 350.0
0.128, 341.6, 345.9050781249998, 350.0
0.1285, 354.3, 345.9377431906613, 350.0
0.129, 366.3, 346.0166666666665, 350.0
0.1295, 374.0, 346.12471042471026, 350.0
0.13, 375.0, 346.23576923076905, 350.0
0.1305, 369.8, 346.3260536398466, 350.0
0.131, 361.7, 346.3847328244273, 350.0
0.1315, 356.2, 346.422053231939, 350.0
0.132, 357.9, 346.4655303030301, 350.0
0.1325, 368.2, 346.54754716981114, 350.0
0.133, 384.3, 346.6894736842103, 350.0
0.1335, 400.7, 346.8917602996253, 350.0
0.134, 412.0, 347.1347014925371, 350.0
0.1345, 415.2, 347.3877323420072, 350.0
0.135, 410.0, 347.6196296296294, 350.0
0.1355, 397.7, 347.8044280442802, 350.0
0.136, 381.5, 347.9283088235292, 350.0
0.1365, 365.6, 347.9930402930401, 350.0
0.137, 354.4, 348.016423357664, 350.0
0.1375, 350.6, 348.025818181818, 350.0
0.138, 353.8, 348.0467391304346, 350.0
0.1385, 360.7, 348.092418772563, 350.0
0.139, 366.8, 348.15971223021563, 350.0
0.1395, 368.8, 348.2336917562722, 350.0
0.14, 365.4, 348.2949999999998, 350.0
0.1405, 357.6, 348.3281138790034, 350.0
0.141, 347.7, 348.3258865248225, 350.0
0.1415, 338.8, 348.2922261484097, 350.0
0.142, 334.1, 348.2422535211266, 350.0
0.1425, 335.3, 348.19684210526304, 350.0
0.143, 341.8, 348.1744755244754, 350.0
0.1435, 350.8, 348.1836236933797, 350.0
0.144, 358.4, 348.2190972222221, 350.0
0.1445, 361.3, 348.2643598615916, 350.0
0.145, 357.9, 348.2975862068964, 350.0
0.1455, 349.2, 348.3006872852232, 350.0
0.146, 338.5, 348.2671232876711, 350.0
0.1465, 329.9, 348.2044368600681, 350.0
0.147, 326.8, 348.13163265306105, 350.0
0.1475, 329.4, 348.0681355932202, 350.0
0.148, 335.2, 348.024662162162, 350.0
0.1485, 340.4, 347.9989898989897, 350.0
0.149, 342.1, 347.9791946308723, 350.0
0.1495, 340.3, 347.95351170568546, 350.0
0.15, 336.2, 347.91433333333316, 350.0
0.1505, 331.9, 347.8611295681061, 350.0
0.151, 329.1, 347.7990066225164, 350.0
0.1515, 329.1, 347.73729372937277, 350.0
0.152, 332.3, 347.6865131578946, 350.0
0.1525, 338.3, 347.6557377049179, 350.0
0.153, 345.9, 347.64999999999986, 350.0
0.1535, 353.0, 347.6674267100976, 350.0
0.154, 357.3, 347.69870129870117, 350.0
0.1545, 357.4, 347.73009708737845, 350.0
0.155, 352.9, 347.7467741935482, 350.0
0.1555, 345.8, 347.7405144694532, 350.0
0.156, 339.3, 347.7134615384614, 350.0
0.1565, 336.4, 347.67731629392955, 350.0
0.157, 338.0, 347.6464968152864, 350.0
0.1575, 342.3, 347.6295238095236, 350.0
0.158, 346.2, 347.62499999999983, 350.0
0.1585, 347.3, 347.62397476340675, 350.0
0.159, 345.3, 347.6166666666665, 350.0
0.1595, 341.1, 347.596238244514, 350.0
0.16, 336.3, 347.56093749999985, 350.0
0.1605, 332.4, 347.5137071651089, 350.0
0.161, 330.8, 347.4618012422359, 350.0
0.1615, 331.9, 347.4136222910215, 350.0
0.162, 335.6, 347.37716049382703, 350.0
0.1625, 341.2, 347.3581538461537, 350.0
0.163, 347.3, 347.35797546012253, 350.0
0.1635, 352.2, 347.3727828746176, 350.0
0.164, 354.5, 347.3945121951218, 350.0
0.1645, 353.1, 347.41185410334333, 350.0
0.165, 348.2, 347.4142424242423, 350.0
0.1655, 340.4, 347.39305135951645, 350.0
0.166, 331.0, 347.34367469879504, 350.0
0.1665, 322.5, 347.2690690690689, 350.0
0.167, 316.8, 347.1778443113771, 350.0
0.1675, 314.6, 347.0805970149252, 350.0
0.168, 315.0, 346.9851190476189, 350.0
0.1685, 315.8, 346.89258160237375, 350.0
0.169, 314.5, 346.79674556213007, 350.0
