Lattice parameter (Å) for Pt, Potential energy (eV) for Pt, Lattice parameter linspace (Å) for Pt, Fitted energy (eV) curve for Pt, Lattice parameter (Å) for min E_pot for  Pt, Minimum E_pot (eV) for Pt
3.9160000000000004, -6.4140836591958275, 3.9160000000000004, -6.414373899911283, 3.9696210812541937, -6.434230743237066
3.926, -6.421157375795608, 3.9161000000000006, -6.414447894429998, , 
3.936, -6.426637279353213, 3.9162000000000003, -6.414521750824704, , 
3.9459999999999997, -6.430595050067062, 3.9163000000000006, -6.414595469095417, , 
3.9559999999999995, -6.433076835487077, 3.9164000000000003, -6.414669049242136, , 
3.9659999999999993, -6.434137831629026, 3.9165000000000005, -6.414742491264846, , 
3.975999999999999, -6.433781464481935, 3.9166000000000003, -6.414815795163577, , 
3.985999999999999, -6.432173513108343, 3.9167000000000005, -6.414888960938299, , 
3.9959999999999987, -6.4292439464018205, 3.9168000000000003, -6.414961988589027, , 
4.0059999999999985, -6.4250510682756765, 3.9169000000000005, -6.415034878115762, , 
4.015999999999998, -6.419635874731973, 3.9170000000000003, -6.415107629518488, , 
, , 3.9171000000000005, -6.415180242797234, , 
, , 3.9172000000000002, -6.415252717951972, , 
, , 3.9173000000000004, -6.415325054982716, , 
, , 3.9174, -6.415397253889452, , 
, , 3.9175000000000004, -6.415469314672208, , 
, , 3.9176, -6.415541237330956, , 
, , 3.9177000000000004, -6.41561302186571, , 
, , 3.9178, -6.415684668276469, , 
, , 3.9179000000000004, -6.415756176563221, , 
, , 3.918, -6.415827546725993, , 
, , 3.9181000000000004, -6.415898778764756, , 
, , 3.9182, -6.415969872679526, , 
, , 3.9183000000000003, -6.416040828470301, , 
, , 3.9184, -6.416111646137068, , 
, , 3.9185000000000003, -6.416182325679856, , 
, , 3.9186000000000005, -6.416252867098635, , 
, , 3.9187000000000003, -6.416323270393406, , 
, , 3.9188000000000005, -6.416393535564197, , 
, , 3.9189000000000003, -6.416463662610994, , 
, , 3.9190000000000005, -6.416533651533783, , 
, , 3.9191000000000003, -6.416603502332578, , 
, , 3.9192000000000005, -6.416673215007378, , 
, , 3.9193000000000002, -6.416742789558171, , 
, , 3.9194000000000004, -6.416812225984984, , 
, , 3.9195, -6.416881524287788, , 
, , 3.9196000000000004, -6.416950684466599, , 
, , 3.9197, -6.417019706521387, , 
