Lattice parameter for Au, Potential energy (eV) for Au, Lattice parameter linspace for Au, Fitted energy curve for Au
3.5, 23.72117284525099, 3.5, 22.318082602218
3.6, 20.31535662183533, 3.5009, 22.303637550655253
3.7, 18.263565622340792, 3.5018, 22.289215863102697
3.8, 17.64783220695933, 3.5027, 22.274817539560274
3.9, 18.928359850410818, 3.5036, 22.260442580028013
4.0, 18.25754308515414, 3.5045, 22.246090984505912
4.1, 18.3070477426025, 3.5054, 22.231762752994
4.2, 19.026271200518057, 3.5063, 22.217457885492223
4.3, 19.046284989702972, 3.5072, 22.203176382000578
4.4, 18.48707522346958, 3.5081, 22.188918242519122
, , 3.509, 22.174683467047828
, , 3.5099, 22.160472055586666
, , 3.5108, 22.146284008135694
, , 3.5117, 22.132119324694884
, , 3.5126, 22.117978005264206
, , 3.5135, 22.10386004984369
, , 3.5144, 22.089765458433334
, , 3.5153, 22.07569423103314
, , 3.5162, 22.061646367643107
, , 3.5171, 22.047621868263235
, , 3.518, 22.033620732893468
, , 3.5189, 22.01964296153392
, , 3.5198, 22.00568855418456
, , 3.5207, 21.991757510845304
, , 3.5216, 21.97784983151621
, , 3.5225, 21.963965516197277
, , 3.5234, 21.950104564888505
, , 3.5243, 21.936266977589923
, , 3.5252, 21.922452754301446
, , 3.5261, 21.908661895023158
, , 3.527, 21.89489439975503
, , 3.5279, 21.881150268497066
, , 3.5288, 21.867429501249262
, , 3.5297, 21.85373209801159
, , 3.5306, 21.84005805878408
, , 3.5315, 21.826407383566732
, , 3.5324, 21.8127800723596
, , 3.5333, 21.799176125162575
, , 3.5342000000000002, 21.78559554197568
, , 3.5351, 21.772038322798977
, , 3.536, 21.758504467632406
, , 3.5369, 21.74499397647608
, , 3.5378, 21.731506849329804
, , 3.5387, 21.718043086193745
, , 3.5396, 21.70460268706782
, , 3.5405, 21.691185651952082
, , 3.5414, 21.677791980846507
, , 3.5423, 21.664421673751065
, , 3.5432, 21.651074730665783
, , 3.5441, 21.63775115159069
, , 3.545, 21.624450936525733
, , 3.5459, 21.611174085470935
, , 3.5468, 21.59792059842627
, , 3.5477, 21.584690475391824
, , 3.5486, 21.57148371636748
, , 3.5495, 21.55830032135333
, , 3.5504000000000002, 21.54514029034931
, , 3.5513, 21.53200362335548
, , 3.5522, 21.51889032037178
, , 3.5531, 21.505800381398245
, , 3.554, 21.4927338064349
, , 3.5549, 21.479690595481685
, , 3.5558, 21.466670748538633
, , 3.5567, 21.45367426560574
, , 3.5576, 21.44070114668301
, , 3.5585, 21.427751391770443
, , 3.5594, 21.414825000868007
, , 3.5603000000000002, 21.40192197397576
, , 3.5612, 21.389042311093675
, , 3.5621, 21.376186012221723
, , 3.563, 21.363353077359932
, , 3.5639, 21.35054350650833
, , 3.5648, 21.337757299666862
, , 3.5657, 21.324994456835555
, , 3.5666, 21.31225497801441
