Lattice parameter (Å) for Au, Potential energy (eV) for Au, Lattice parameter linspace (Å) for Au, Fitted energy (eV) curve for Au
3.5, 1.3172942722813283, 4.0, -2.994979132644602
3.6, -0.3227921643130772, 4.0004, -2.995587101645924
3.7, -1.4609153779263602, 4.0008, -2.9961938318154324
3.8, -2.224600937454859, 4.0012, -2.99679932315307
3.9, -2.7096171569530094, 4.0016, -2.9974035756588933
4.0, -2.9892752684189707, 4.002, -2.9980065893328742
4.1, -3.1200033154838773, 4.0024, -2.9986083641750128
4.2, -3.143870826946738, 4.0028, -2.999208900185323
4.3, -3.092139798138358, 4.0032, -2.999808197363805
4.4, -2.9896726512501175, 4.0036, -3.0004062557104447
4.5, -2.854968383481903, 4.004, -3.001003075225242
, , 4.0044, -3.001598655908225
, , 4.0048, -3.0021929977593516
, , 4.0052, -3.00278610077865
, , 4.0056, -3.0033779649661057
, , 4.006, -3.0039685903217332
, , 4.0064, -3.0045579768455184
, , 4.0068, -3.0051461245374753
, , 4.0072, -3.00573303339759
, , 4.0076, -3.006318703425862
, , 4.008, -3.00690313462232
, , 4.0084, -3.007486326986907
, , 4.0088, -3.0080682805196943
, , 4.0092, -3.008648995220639
, , 4.0096, -3.0092284710897275
, , 4.01, -3.009806708127016
, , 4.0104, -3.0103837063324193
, , 4.0108, -3.010959465706037
, , 4.0112, -3.011533986247784
, , 4.0116, -3.0121072679577026
, , 4.0120000000000005, -3.012679310835793
, , 4.0124, -3.013250114882055
, , 4.0128, -3.0138196800964465
, , 4.0132, -3.014388006479038
, , 4.0136, -3.014955094029787
, , 4.014, -3.0155209427486938
, , 4.0144, -3.016085552635758
, , 4.0148, -3.016648923690994
, , 4.0152, -3.0172110559144016
, , 4.0156, -3.017771949305967
, , 4.016, -3.0183316038656898
, , 4.0164, -3.0188900195935844
, , 4.0168, -3.0194471964896366
, , 4.0172, -3.0200031345538747
, , 4.0176, -3.020557833786242
, , 4.018, -3.0211112941867952
, , 4.0184, -3.021663515755506
, , 4.0188, -3.0222144984923887
, , 4.0192, -3.022764242397443
, , 4.0196, -3.0233127474706265
, , 4.02, -3.02386001371201
, , 4.0204, -3.024406041121537
, , 4.0208, -3.024950829699236
, , 4.0212, -3.0254943794450924
, , 4.0216, -3.0260366903591347
, , 4.022, -3.026577762441306
, , 4.0224, -3.027117595691678
, , 4.0228, -3.027656190110193
, , 4.0232, -3.0281935456968796
, , 4.0236, -3.028729662451724
, , 4.024, -3.029264540374726
, , 4.0244, -3.0297981794659137
, , 4.0248, -3.030330579725245
, , 4.0252, -3.030861741152762
, , 4.0256, -3.0313916637484226
, , 4.026, -3.031920347512255
, , 4.0264, -3.032447792444259
, , 4.0268, -3.0329739985444064
, , 4.0272, -3.03349896581274
, , 4.0276, -3.0340226942492308
, , 4.0280000000000005, -3.0345451838538793
, , 4.0284, -3.0350664346266996
, , 4.0288, -3.0355864465676916
, , 4.0292, -3.036105219676813
, , 4.0296, -3.036622753954134
, , 4.03, -3.037139049399613
, , 4.0304, -3.0376541060132496
, , 4.0308, -3.038167923795058
, , 4.0312, -3.0386805027450094
, , 4.0316, -3.039191842863147
, , 4.032, -3.039701944149442
, , 4.0324, -3.040210806603909
, , 4.0328, -3.0407184302265193
, , 4.0332, -3.0412248150173156
, , 4.0336, -3.0417299609762694
, , 4.034, -3.0422338681033665
, , 4.0344, -3.042736536398664
, , 4.0348, -3.0432379658621045
, , 4.0352, -3.043738156493717
, , 4.0356, -3.044237108293501
, , 4.036, -3.0447348212614145
, , 4.0364, -3.045231295397528
, , 4.0368, -3.045726530701785
, , 4.0372, -3.0462205271742135
, , 4.0376, -3.046713284814814
, , 4.038, -3.047204803623572
, , 4.0384, -3.0476950836004875
, , 4.0388, -3.0481841247455748
, , 4.0392, -3.048671927058834
, , 4.0396, -3.0491584905402362
, , 4.04, -3.0496438151898246
, , 4.0404, -3.0501279010075564
, , 4.0408, -3.050610747993474
, , 4.0412, -3.0510923561475494
, , 4.0416, -3.051572725469782
, , 4.042, -3.0520518559601726
, , 4.0424, -3.0525297476187347
, , 4.0428, -3.0530064004454687
, , 4.0432, -3.053481814440346
, , 4.0436, -3.053955989603409
, , 4.0440000000000005, -3.05442892593463
, , 4.0444, -3.0549006234340084
, , 4.0448, -3.0553710821015585
, , 4.0452, -3.0558403019372804
, , 4.0456, -3.0563082829411456
, , 4.046, -3.056775025113197
, , 4.0464, -3.0572405284534057
, , 4.0468, -3.057704792961772
, , 4.0472, -3.05816781863831
, , 4.0476, -3.0586296054829916
, , 4.048, -3.059090153495873
, , 4.0484, -3.059549462676884
, , 4.0488, -3.0600075330260808
, , 4.0492, -3.0604643645434493
, , 4.0496, -3.060919957228947
, , 4.05, -3.061374311082645
, , 4.0504, -3.061827426104486
, , 4.0508, -3.0622793022944848
, , 4.0512, -3.0627299396526695
, , 4.0516, -3.0631793381789976
, , 4.052, -3.0636274978735116
, , 4.0524000000000004, -3.0640744187361832
, , 4.0528, -3.0645201007670124
, , 4.0532, -3.064964543965999
, , 4.0536, -3.0654077483331577
, , 4.054, -3.065849713868488
, , 4.0544, -3.06629044057199
, , 4.0548, -3.066729928443621
, , 4.0552, -3.0671681774834525
, , 4.0556, -3.067605187691427
, , 4.056, -3.0680409590675737
, , 4.0564, -3.068475491611892
, , 4.0568, -3.0689087853243393
, , 4.0572, -3.069340840205001
, , 4.0576, -3.069771656253792
, , 4.058, -3.0702012334707547
, , 4.0584, -3.0706295718559034
, , 4.0588, -3.071056671409181
, , 4.0592, -3.071482532130645
, , 4.0596, -3.0719071540202663
, , 4.0600000000000005, -3.072330537078045
, , 4.0604000000000005, -3.072752681303996
, , 4.0608, -3.0731735866981325
, , 4.0612, -3.073593253260384
, , 4.0616, -3.07401168099085
, , 4.062, -3.074428869889445
, , 4.0624, -3.074844819956212
, , 4.0628, -3.0752595311911506
, , 4.0632, -3.075673003594247
, , 4.0636, -3.076085237165529
, , 4.064, -3.0764962319049403
, , 4.0644, -3.0769059878125375
, , 4.0648, -3.0773145048882924
, , 4.0652, -3.077721783132219
, , 4.0656, -3.0781278225443174
, , 4.066, -3.078532623124545
, , 4.0664, -3.0789361848729726
, , 4.0668, -3.0793385077895437
, , 4.0672, -3.0797395918742865
, , 4.0676, -3.080139437127187
, , 4.068, -3.080538043548259
, , 4.0684000000000005, -3.0809354111374887
, , 4.0688, -3.08133153989489
, , 4.0692, -3.081726429820449
, , 4.0696, -3.08212008091418
, , 4.07, -3.0825124931760826
, , 4.0704, -3.0829036666061143
, , 4.0708, -3.083293601204346
, , 4.0712, -3.0836822969707356
, , 4.0716, -3.0840697539052826
, , 4.072, -3.084455972007987
, , 4.0724, -3.0848409512788635
, , 4.0728, -3.0852246917179116
, , 4.0732, -3.085607193325103
, , 4.0736, -3.0859884561004804
, , 4.074, -3.086368480044001
, , 4.0744, -3.086747265155708
, , 4.0748, -3.0871248114355723
, , 4.0752, -3.08750111888358
, , 4.0756, -3.0878761874997878
, , 4.0760000000000005, -3.088250017284139
, , 4.0764000000000005, -3.0886226082366477
, , 4.0768, -3.088993960357328
, , 4.0772, -3.0893640736461805
, , 4.0776, -3.089732948103176
, , 4.078, -3.090100583728372
, , 4.0784, -3.090466980521697
, , 4.0788, -3.090832138483208
, , 4.0792, -3.0911960576128763
, , 4.0796, -3.091558737910688
, , 4.08, -3.0919201793767
, , 4.0804, -3.0922803820108555
, , 4.0808, -3.0926393458131827
, , 4.0812, -3.0929970707836674
, , 4.0816, -3.0933535569223096
, , 4.082, -3.093708804229138
, , 4.0824, -3.0940628127041094
, , 4.0828, -3.094415582347253
, , 4.0832, -3.094767113158568
, , 4.0836, -3.0951174051380406
, , 4.084, -3.095466458285685
, , 4.0844000000000005, -3.095814272601487
, , 4.0848, -3.0961608480854323
, , 4.0852, -3.0965061847375637
, , 4.0856, -3.0968502825578668
, , 4.086, -3.097193141546313
, , 4.0864, -3.0975347617029456
, , 4.0868, -3.0978751430277214
