Lattice parameter (Å) for Au,Potential energy (eV) for Au,Lattice parameter linspace (Å) for Au,Fitted energy (eV) curve for Au,Lattice parameter (Å) for min E_pot for  Au,Minimum E_pot (eV) for Au
4.112,-3.1277956844828245,4.112,-3.1279915326598484,4.177011095278475,-3.146187170007991
4.122,-3.1332043626729265,4.1121,-3.128047466630946,,
4.132,-3.1376005354281578,4.1122000000000005,-3.1281033144982473,,
4.1419999999999995,-3.141058062841666,4.1123,-3.1281590762617526,,
4.151999999999999,-3.1436112900536637,4.1124,-3.128214751921462,,
4.161999999999999,-3.1451840301849208,4.1125,-3.1282703414773607,,
4.171999999999999,-3.145976147649389,4.1126000000000005,-3.1283258449294635,,
4.181999999999999,-3.1459451548242128,4.1127,-3.1283812622777702,,
4.191999999999998,-3.145074653615496,4.1128,-3.128436593522281,,
4.201999999999998,-3.143492917929726,4.1129,-3.128491838662981,,
4.211999999999998,-3.1410878324247964,4.113,-3.128546997699871,,
,,4.1131,-3.1286020706329793,,
,,4.1132,-3.1286570574622914,,
,,4.1133,-3.1287119581878073,,
,,4.1134,-3.128766772809513,,
,,4.1135,-3.1288215013274225,,
,,4.1136,-3.128876143741536,,
,,4.1137,-3.1289307000518534,,
,,4.1138,-3.1289851702583604,,
,,4.1139,-3.1290395543610714,,
,,4.114,-3.1290938523599863,,
,,4.1141,-3.129148064255105,,
,,4.1142,-3.1292021900464135,,
,,4.1143,-3.129256229733926,,
,,4.1144,-3.129310183317642,,
,,4.1145,-3.1293640507975624,,
,,4.1146,-3.1294178321736723,,
,,4.1147,-3.1294715274460003,,
,,4.1148,-3.129525136614518,,
,,4.1149000000000004,-3.1295786596792396,,
,,4.115,-3.129632096640165,,
,,4.1151,-3.1296854474972804,,
,,4.1152,-3.1297387122505995,,
,,4.1153,-3.1297918909001083,,
,,4.1154,-3.1298449834458353,,
,,4.1155,-3.129897989887766,,
,,4.1156,-3.1299509102258867,,
,,4.1157,-3.130003744460211,,
,,4.1158,-3.1300564925907395,,
,,4.1159,-3.1301091546174717,,
,,4.116,-3.1301617305403937,,
,,4.1161,-3.130214220359534,,
,,4.1162,-3.1302666240748636,,
,,4.1163,-3.130318941686383,,
,,4.1164,-3.1303711731941206,,
,,4.1165,-3.1304233185980337,,
,,4.1166,-3.130475377898165,,
,,4.1167,-3.1305273510945,,
,,4.1168,-3.130579238187039,,
,,4.1169,-3.1306310391757677,,
,,4.117,-3.1306827540607003,,
,,4.1171,-3.130734382841837,,
,,4.1172,-3.1307859255191772,,
,,4.1173,-3.1308373820927216,,
,,4.1174,-3.1308887525624556,,
,,4.1175,-3.1309400369283935,,
,,4.1176,-3.130991235190521,,
,,4.1177,-3.131042347348867,,
,,4.1178,-3.1310933734034023,,
,,4.1179,-3.1311443133541417,,
,,4.118,-3.131195167201085,,
,,4.1181,-3.131245934944232,,
,,4.1182,-3.131296616583569,,
,,4.1183,-3.131347212119124,,
,,4.1184,-3.1313977215508686,,
,,4.1185,-3.131448144878803,,
,,4.1186,-3.1314984821029554,,
,,4.1187,-3.1315487332232834,,
,,4.1188,-3.1315988982398437,,
,,4.1189,-3.1316489771525795,,
,,4.119,-3.1316989699615334,,
,,4.1190999999999995,-3.131748876666691,,
,,4.1192,-3.1317986972680387,,
,,4.1193,-3.13184843176559,,
,,4.1194,-3.1318980801593455,,
,,4.1195,-3.1319476424492905,,
,,4.1196,-3.1319971186354536,,
,,4.1197,-3.1320465087178064,,
,,4.1198,-3.132095812696363,,
,,4.1199,-3.1321450305710954,,
,,4.12,-3.13219416234206,,
,,4.1201,-3.132243208009214,,
,,4.1202,-3.1322921675725723,,
,,4.1203,-3.1323410410321344,,
,,4.1204,-3.132389828387886,,
,,4.1205,-3.132438529639842,,
,,4.1206,-3.1324871447880156,,
,,4.1207,-3.132535673832365,,
,,4.1208,-3.1325841167729322,,
,,4.1209,-3.1326324736096893,,
,,4.1209999999999996,-3.1326807443426503,,
,,4.1211,-3.132728928971815,,
,,4.1212,-3.13277702749717,,
,,4.1213,-3.1328250399187425,,
,,4.1213999999999995,-3.132872966236505,,
,,4.1215,-3.132920806450471,,
,,4.1216,-3.1329685605606414,,
,,4.1217,-3.1330162285670156,,
,,4.1217999999999995,-3.1330638104695794,,
,,4.1219,-3.133111306268347,,
,,4.122,-3.1331587159633187,,
,,4.1221,-3.1332060395544943,,
,,4.1222,-3.1332532770418453,,
,,4.1223,-3.1333004284254287,,
,,4.1224,-3.1333474937052017,,
,,4.1225,-3.1333944728811645,,
,,4.1226,-3.1334413659533453,,
,,4.1227,-3.133488172921716,,
,,4.1228,-3.1335348937862904,,
,,4.1229,-3.1335815285470687,,
,,4.123,-3.133628077204051,,
,,4.1231,-3.133674539757223,,
,,4.1232,-3.133720916206613,,
,,4.1232999999999995,-3.1337672065521787,,
,,4.1234,-3.133813410793948,,
,,4.1235,-3.1338595289319358,,
,,4.1236,-3.133905560966113,,
,,4.1236999999999995,-3.1339515068964943,,
,,4.1238,-3.1339973667230794,,
,,4.1239,-3.1340431404458684,,
,,4.124,-3.134088828064847,,
,,4.124099999999999,-3.134134429580044,,
,,4.1242,-3.1341799449914305,,
,,4.1243,-3.1342253742990067,,
,,4.1244,-3.134270717502801,,
,,4.124499999999999,-3.134315974602771,,
,,4.1246,-3.134361145598959,,
,,4.1247,-3.1344062304913507,,
,,4.1248,-3.1344512292799465,,
,,4.1249,-3.134496141964732,,
,,4.125,-3.1345409685457213,,
,,4.1251,-3.1345857090229146,,
,,4.1251999999999995,-3.1346303633963117,,
,,4.1253,-3.1346749316658986,,
,,4.1254,-3.1347194138317036,,
,,4.1255,-3.1347638098936983,,
,,4.1255999999999995,-3.1348081198518685,,
,,4.1257,-3.134852343706271,,
,,4.1258,-3.134896481456863,,
,,4.1259,-3.1349405331036593,,
,,4.1259999999999994,-3.1349844986466593,,
,,4.1261,-3.135028378085863,,
,,4.1262,-3.135072171421271,,
,,4.1263,-3.1351158786528686,,
,,4.126399999999999,-3.13515949978067,,
,,4.1265,-3.1352030348046753,,
,,4.1266,-3.1352464837248704,,
,,4.1267,-3.1352898465412693,,
,,4.126799999999999,-3.135333123253872,,
,,4.1269,-3.1353763138626647,,
,,4.127,-3.1354194183676753,,
,,4.1270999999999995,-3.13546243676889,,
,,4.1272,-3.135505369066294,,
,,4.1273,-3.1355482152599023,,
,,4.1274,-3.1355909753497144,,
,,4.1274999999999995,-3.135633649335716,,
,,4.1276,-3.135676237217922,,
,,4.1277,-3.1357187389963315,,
,,4.1278,-3.135761154670945,,
,,4.1278999999999995,-3.135803484241748,,
,,4.128,-3.1358457277087552,,
,,4.1281,-3.1358878850719663,,
,,4.1282,-3.135929956331381,,
,,4.128299999999999,-3.135971941487,,
,,4.1284,-3.1360138405388227,,
,,4.1285,-3.136055653486835,,
,,4.1286,-3.1360973803310515,,
,,4.128699999999999,-3.1361390210714717,,
,,4.1288,-3.1361805757080816,,
,,4.1289,-3.1362220442409097,,
,,4.129,-3.1362634266699274,,
,,4.129099999999999,-3.136304722995135,,
