Lattice parameter (Å) for Pt, Potential energy (eV) for Pt, Lattice parameter linspace (Å) for Pt, Fitted energy (eV) curve for Pt
3.5, -3.8274097284127064, 3.8, -6.207384770487266
3.6, -5.006306019567042, 3.8004, -6.208333421584712
3.7, -5.761607498536974, 3.8007999999999997, -6.2092800442493115
3.8, -6.198551494489784, 3.8011999999999997, -6.210224638481094
3.9, -6.399394802219326, 3.8015999999999996, -6.211167204280045
4.0, -6.427716292101918, 3.8019999999999996, -6.2121077416461645
4.1, -6.332417502138969, 3.8024, -6.213046250579453
4.2, -6.151351268298954, 3.8028, -6.213982731079923
4.3, -5.913172871034853, 3.8032, -6.214917183147563
4.4, -5.6390616701441605, 3.8036, -6.215849606782356
4.5, -5.345149725992487, 3.804, -6.216780001984333
, , 3.8044, -6.2177083687534775
, , 3.8047999999999997, -6.218634707089777
, , 3.8051999999999997, -6.219559016993273
, , 3.8055999999999996, -6.220481298463923
, , 3.806, -6.221401551501742
, , 3.8064, -6.222319776106744
, , 3.8068, -6.223235972278914
, , 3.8072, -6.224150140018239
, , 3.8076, -6.225062279324746
, , 3.808, -6.225972390198436
, , 3.8084, -6.226880472639266
, , 3.8087999999999997, -6.227786526647293
, , 3.8091999999999997, -6.228690552222474
, , 3.8095999999999997, -6.229592549364824
, , 3.8099999999999996, -6.230492518074357
, , 3.8104, -6.231390458351058
, , 3.8108, -6.232286370194942
, , 3.8112, -6.2331802536059655
, , 3.8116, -6.234072108584172
, , 3.812, -6.2349619351295615
, , 3.8124, -6.235849733242105
, , 3.8127999999999997, -6.236735502921832
, , 3.8131999999999997, -6.237619244168727
, , 3.8135999999999997, -6.238500956982776
, , 3.814, -6.239380641364008
, , 3.8144, -6.240258297312408
, , 3.8148, -6.241133924827977
, , 3.8152, -6.242007523910715
, , 3.8156, -6.242879094560635
, , 3.816, -6.24374863677771
, , 3.8164, -6.244616150561967
, , 3.8167999999999997, -6.245481635913393
, , 3.8171999999999997, -6.246345092831987
, , 3.8175999999999997, -6.24720652131775
, , 3.8179999999999996, -6.2480659213706815
, , 3.8184, -6.248923292990796
, , 3.8188, -6.249778636178064
, , 3.8192, -6.250631950932515
, , 3.8196, -6.251483237254135
, , 3.82, -6.252332495142909
, , 3.8204, -6.253179724598866
, , 3.8207999999999998, -6.254024925622005
, , 3.8211999999999997, -6.254868098212285
, , 3.8215999999999997, -6.255709242369761
, , 3.822, -6.256548358094392
, , 3.8224, -6.257385445386191
, , 3.8228, -6.258220504245173
, , 3.8232, -6.259053534671338
, , 3.8236, -6.259884536664643
, , 3.824, -6.260713510225131
, , 3.8244, -6.261540455352801
, , 3.8247999999999998, -6.2623653720476256
, , 3.8251999999999997, -6.263188260309619
, , 3.8255999999999997, -6.264009120138795
, , 3.8259999999999996, -6.264827951535125
, , 3.8264, -6.265644754498638
, , 3.8268, -6.2664595290293335
, , 3.8272, -6.267272275127183
, , 3.8276, -6.268082992792202
, , 3.828, -6.268891682024389
, , 3.8284, -6.269698342823759
, , 3.8287999999999998, -6.270502975190283
, , 3.8291999999999997, -6.27130557912399
, , 3.8295999999999997, -6.272106154624865
, , 3.83, -6.272904701692909
, , 3.8304, -6.273701220328121
, , 3.8308, -6.274495710530516
, , 3.8312, -6.275288172300051
, , 3.8316, -6.276078605636783
, , 3.832, -6.276867010540684
, , 3.8324, -6.277653387011739
, , 3.8327999999999998, -6.278437735049977
, , 3.8331999999999997, -6.279220054655397
, , 3.8335999999999997, -6.280000345827958
, , 3.8339999999999996, -6.280778608567715
, , 3.8344, -6.281554842874627
, , 3.8348, -6.282329048748721
, , 3.8352, -6.28310122618997
, , 3.8356, -6.283871375198402
, , 3.836, -6.284639495774016
, , 3.8364, -6.28540558791677
, , 3.8367999999999998, -6.286169651626707
, , 3.8371999999999997, -6.286931686903827
, , 3.8375999999999997, -6.287691693748101
, , 3.838, -6.288449672159558
, , 3.8384, -6.289205622138169
, , 3.8388, -6.289959543683963
, , 3.8392, -6.290711436796926
, , 3.8396, -6.291461301477057
, , 3.84, -6.292209137724356
, , 3.8404, -6.292954945538824
, , 3.8407999999999998, -6.293698724920475
, , 3.8411999999999997, -6.29444047586928
, , 3.8415999999999997, -6.2951801983852675
, , 3.8419999999999996, -6.295917892468424
, , 3.8424, -6.296653558118749
, , 3.8428, -6.297387195336242
, , 3.8432, -6.298118804120904
, , 3.8436, -6.298848384472748
, , 3.844, -6.299575936391747
, , 3.8444, -6.300301459877915
, , 3.8447999999999998, -6.301024954931265
, , 3.8451999999999997, -6.301746421551783
, , 3.8455999999999997, -6.3024658597394705
, , 3.846, -6.303183269494326
, , 3.8464, -6.30389865081635
, , 3.8468, -6.304612003705543
, , 3.8472, -6.3053233281619185
, , 3.8476, -6.306032624185448
, , 3.848, -6.306739891776161
, , 3.8484, -6.307445130934042
, , 3.8487999999999998, -6.308148341659077
, , 3.8491999999999997, -6.308849523951309
, , 3.8495999999999997, -6.309548677810696
, , 3.8499999999999996, -6.310245803237251
, , 3.8504, -6.310940900230989
, , 3.8508, -6.311633968791895
, , 3.8512, -6.31232500891997
, , 3.8516, -6.313014020615199
, , 3.852, -6.313701003877611
, , 3.8524, -6.3143859587071915
, , 3.8528, -6.3150688851039405
, , 3.8531999999999997, -6.315749783067872
, , 3.8535999999999997, -6.316428652598972
, , 3.854, -6.317105493697213
, , 3.8544, -6.31778030636265
, , 3.8548, -6.31845309059527
, , 3.8552, -6.31912384639503
, , 3.8556, -6.319792573761973
, , 3.856, -6.320459272696098
, , 3.8564, -6.321123943197378
, , 3.8568, -6.321786585265826
, , 3.8571999999999997, -6.3224471989014575
, , 3.8575999999999997, -6.323105784104243
, , 3.8579999999999997, -6.323762340874225
, , 3.8584, -6.324416869211362
, , 3.8588, -6.325069369115667
, , 3.8592, -6.325719840587141
, , 3.8596, -6.326368283625797
, , 3.86, -6.327014698231608
, , 3.8604, -6.327659084404587
, , 3.8608, -6.328301442144749
, , 3.8611999999999997, -6.328941771452094
, , 3.8615999999999997, -6.3295800723265785
, , 3.862, -6.330216344768246
, , 3.8624, -6.330850588777096
, , 3.8628, -6.331482804353101
, , 3.8632, -6.332112991496274
, , 3.8636, -6.33274115020663
, , 3.864, -6.333367280484154
, , 3.8644, -6.333991382328847
, , 3.8648, -6.334613455740708
, , 3.8651999999999997, -6.335233500719738
, , 3.8655999999999997, -6.335851517265937
, , 3.8659999999999997, -6.336467505379318
