       Step     Time          Energy         fmax
GPMin:    0 11:30:33     -105.853913        0.5001
GPMin:    1 11:37:24     -106.452537        0.1898
GPMin:    2 11:44:16     -106.513136        0.0940
GPMin:    3 11:53:25     -106.527129        0.0037
GPMin:    4 11:56:11     -106.527140        0.0087
GPMin:    5 11:58:34     -106.527217        0.0104
GPMin:    6 12:07:49     -106.527151        0.0007
       Step     Time          Energy         fmax
GPMin:    0 14:39:02     -105.853886        0.4985
GPMin:    1 14:40:21     -106.452538        0.1898
