       Step     Time          Energy         fmax
GPMin:    0 16:06:00      -14.194269        1.0822
GPMin:    1 16:06:27      -14.199609        0.0888
GPMin:    2 16:06:30      -14.199643        0.0197
GPMin:    3 16:06:31      -14.199644        0.0128
GPMin:    4 16:06:33      -14.199644        0.0146
GPMin:    5 16:06:34      -14.199644        0.0147
GPMin:    6 16:06:35      -14.199644        0.0148
GPMin:    7 16:06:36      -14.199645        0.0151
GPMin:    8 16:06:37      -14.199645        0.0153
GPMin:    9 16:06:39      -14.199645        0.0154
GPMin:   10 16:06:40      -14.199645        0.0154
GPMin:   11 16:06:41      -14.199645        0.0155
GPMin:   12 16:06:42      -14.199645        0.0155
GPMin:   13 16:06:43      -14.199645        0.0155
GPMin:   14 16:06:45      -14.199645        0.0155
GPMin:   15 16:06:46      -14.199645        0.0155
GPMin:   16 16:06:47      -14.199646        0.0155
GPMin:   17 16:06:48      -14.199646        0.0155
GPMin:   18 16:06:49      -14.199646        0.0154
GPMin:   19 16:06:50      -14.199646        0.0154
GPMin:   20 16:06:52      -14.199646        0.0154
GPMin:   21 16:06:53      -14.199646        0.0154
GPMin:   22 16:06:54      -14.199646        0.0154
GPMin:   23 16:06:55      -14.199646        0.0154
GPMin:   24 16:06:56      -14.199646        0.0154
GPMin:   25 16:06:58      -14.199646        0.0153
       Step     Time          Energy         fmax
GPMin:    0 16:08:01      -14.194269        1.0822
GPMin:    1 16:08:29      -14.199609        0.0986
GPMin:    2 16:08:32      -14.199644        0.0143
GPMin:    3 16:08:33      -14.199644        0.0154
GPMin:    4 16:08:34      -14.199644        0.0174
GPMin:    5 16:08:35      -14.199644        0.0170
GPMin:    6 16:08:37      -14.199645        0.0171
GPMin:    7 16:08:38      -14.199645        0.0170
GPMin:    8 16:08:39      -14.199645        0.0170
GPMin:    9 16:08:40      -14.199645        0.0168
GPMin:   10 16:08:41      -14.199645        0.0167
GPMin:   11 16:08:42      -14.199645        0.0166
GPMin:   12 16:08:44      -14.199645        0.0165
GPMin:   13 16:08:45      -14.199645        0.0164
GPMin:   14 16:08:46      -14.199645        0.0163
GPMin:   15 16:08:47      -14.199646        0.0162
GPMin:   16 16:08:48      -14.199646        0.0162
GPMin:   17 16:08:50      -14.199646        0.0161
GPMin:   18 16:08:51      -14.199646        0.0161
GPMin:   19 16:08:52      -14.199646        0.0160
GPMin:   20 16:08:53      -14.199646        0.0160
GPMin:   21 16:08:54      -14.199646        0.0159
GPMin:   22 16:08:55      -14.199646        0.0159
GPMin:   23 16:08:57      -14.199646        0.0158
GPMin:   24 16:08:58      -14.199646        0.0158
GPMin:   25 16:08:59      -14.199646        0.0158
