Surface metal, Adsorption position, Activation energy CO and O (eV)
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, ontop, -1.4854895896051772
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, bridge, -1.217173876860309
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, fcc, -1.2394969030570095
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Au, hcp, -1.2777452454286276
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, ontop, -0.704438518598198
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, bridge, -0.5415537723042575
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, fcc, -0.5817151408510596
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Pt, hcp, -0.6988596069609143
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, ontop, -0.47693303970193024
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
Rh, bridge, -0.28186568610005613
