Surface metal, Adsorbate, Adsorption position, Adsorption energy (eV)
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, ontop, -0.12352289562378083
Au, O,  ontop, 5.808488194307705
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, bridge, 0.10133444267911607
Au, O,  bridge, 4.689245146855248
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
Au, CO, fcc, 0.17615496843988687
Au, O,  fcc, 4.688834708416811
