Surface metal, adsorbant, position, E_pot for adsorbed adorbant on surface (eV)
Au, CO, ontop, -93.16195449608534
Au, CO, bridge, -92.93709715778245
Au, CO, fcc, -92.86227663202168
Au, CO, hcp, -92.87043785855732
Au, O, ontop, -81.76394340615386
Au, O, bridge, -82.88318645360631
Au, O, fcc, -82.88359689204475
Au, O, hcp, -82.74794119093704
Pt, CO, ontop, -177.44103182881864
Pt, CO, bridge, -176.79241910175253
Pt, CO, fcc, -176.65841704535652
Pt, CO, hcp, -176.6557300727581
Pt, O, ontop, -166.0264765677025
Pt, O, bridge, -167.21803844908175
Pt, O, fcc, -167.21816927698842
Pt, O, hcp, -166.83037469588731
Rh, CO, ontop, -198.57761321201698
Rh, CO, bridge, -197.93148862009858
Rh, CO, fcc, -197.77853047327284
Rh, CO, hcp, -197.80252931640175
Rh, O, ontop, -187.61670659985703
Rh, O, bridge, -188.91305570378168
Rh, O, fcc, -188.9132093765236
Rh, O, hcp, -188.78338659210687

Au, CO, ontop, -93.16197097400301
Au, CO, bridge, -92.9371579788872
Au, CO, fcc, -92.8624739870401
Au, O, ontop, -81.76417179532592
Au, O, bridge, -82.88360771559329
Au, O, fcc, -82.88359449420578
Au, O, hcp, -82.74803780872493
Pt, CO, ontop, -177.44097094891453
Pt, CO, bridge, -176.79242080973415
Pt, CO, fcc, -176.6584170453707
Pt, CO, hcp, -176.65572463573884    
Pt, O, ontop, -166.02679872154366
Pt, O, bridge, -167.21806803424306
Pt, O, fcc, -167.21786437361342
Pt, O, hcp, -166.8307553458662
Rh, CO, ontop, -198.5776188539229
Rh, CO, bridge, -197.9345420798461
