       Step     Time          Energy         fmax
GPMin:    0 17:36:21      -92.869644        0.4091
GPMin:    1 17:40:02      -92.869969        0.3124
GPMin:    2 17:40:47      -92.870438        0.0185
       Step     Time          Energy         fmax
GPMin:    0 10:04:05      -92.869644        0.4091
GPMin:    1 10:07:48      -92.869969        0.3124
GPMin:    2 10:08:34      -92.870438        0.0185
GPMin:    3 10:09:03      -92.870506        0.0207
GPMin:    4 10:09:49      -92.870723        0.0209
GPMin:    5 10:10:13      -92.870723        0.0242
GPMin:    6 10:13:07      -92.883607        0.0455
GPMin:    7 10:13:53      -92.883857        0.0105
GPMin:    8 10:14:17      -92.883867        0.0280
GPMin:    9 10:15:08      -92.884335        0.0188
