       Step     Time          Energy         fmax
GPMin:    0 08:42:22      -93.157876        0.9403
GPMin:    1 09:13:59      -93.201745        0.6134
GPMin:    2 09:15:19      -93.213394        0.6143
GPMin:    3 09:16:29      -93.219873        0.9680
GPMin:    4 09:22:17      -93.227777        0.1179
GPMin:    5 09:23:15      -93.229385        0.1402
GPMin:    6 09:24:02      -93.231664        0.1156
GPMin:    7 09:25:12      -93.236916        0.1521
GPMin:    8 09:32:01      -93.238017        0.0636
GPMin:    9 09:32:48      -93.238174        0.0597
GPMin:   10 09:33:41      -93.239120        0.1768
GPMin:   11 09:34:39      -93.239932        0.0583
GPMin:   12 09:35:26      -93.240183        0.0303
GPMin:   13 09:35:56      -93.240447        0.0232
GPMin:   14 09:36:38      -93.240653        0.0424
GPMin:   15 09:39:31      -93.240923        0.0119
GPMin:   16 09:40:13      -93.241034        0.0111
GPMin:   17 09:40:43      -93.241116        0.0115
GPMin:   18 09:41:03      -93.241135        0.0155
GPMin:   19 09:41:45      -93.241340        0.0199
GPMin:   20 09:42:26      -93.241473        0.0283
GPMin:   21 09:45:14      -93.241494        0.0278
GPMin:   22 09:45:45      -93.241638        0.0133
GPMin:   23 09:47:15      -93.241896        0.0319
GPMin:   24 09:54:07      -93.242950        0.0359
GPMin:   25 09:57:44      -93.243135        0.0226
GPMin:   26 09:58:32      -93.243281        0.0250
GPMin:   27 09:59:21      -93.243426        0.0147
GPMin:   28 09:59:58      -93.243479        0.0062
