       Step     Time          Energy         fmax
GPMin:    0 17:51:25      -81.675327        2.5432
GPMin:    1 17:53:28      -82.483828        1.0107
GPMin:    2 17:55:25      -82.520770        0.6560
GPMin:    3 17:57:03      -82.541375        0.1459
GPMin:    4 18:01:19      -82.560926        0.3100
GPMin:    5 18:03:16      -82.744378        0.5884
GPMin:    6 18:04:53      -82.851712        0.5174
GPMin:    7 18:06:37      -82.868749        0.5636
GPMin:    8 18:08:07      -82.883186        0.0909
       Step     Time          Energy         fmax
GPMin:    0 11:22:46      -81.675327        2.5432
GPMin:    1 11:24:53      -82.483828        1.0107
GPMin:    2 11:26:53      -82.520770        0.6560
GPMin:    3 11:28:32      -82.541375        0.1459
GPMin:    4 11:32:54      -82.560926        0.3100
GPMin:    5 11:34:54      -82.744378        0.5884
GPMin:    6 11:36:34      -82.851712        0.5174
GPMin:    7 11:38:21      -82.868749        0.5636
GPMin:    8 11:39:54      -82.883186        0.0909
GPMin:    9 11:41:07      -82.883331        0.0620
GPMin:   10 11:42:06      -82.883597        0.0240
GPMin:   11 11:43:37      -82.883612        0.0565
GPMin:   12 11:46:34      -82.883608        0.0093
