       Step     Time          Energy         fmax
GPMin:    0 10:26:36      -81.675327        2.5432
GPMin:    1 10:28:50      -82.471650        1.0492
GPMin:    2 10:30:58      -82.644288        1.0159
GPMin:    3 10:32:58      -82.727451        0.5109
GPMin:    4 10:34:51      -82.758742        0.4041
GPMin:    5 10:36:58      -82.845941        0.6895
GPMin:    6 10:39:06      -83.017224        0.7209
GPMin:    7 10:41:00      -83.108105        0.7108
GPMin:    8 10:42:42      -83.156794        0.2659
GPMin:    9 10:44:30      -83.179169        0.1742
GPMin:   10 10:46:05      -83.186938        0.1441
