       Step     Time          Energy         fmax
GPMin:    0 18:10:51      -81.664745        2.6580
GPMin:    1 18:12:17      -82.626420        1.8103
GPMin:    2 18:13:49      -82.882034        0.1555
GPMin:    3 18:14:43      -82.883597        0.0216
       Step     Time          Energy         fmax
GPMin:    0 11:49:20      -81.664745        2.6580
GPMin:    1 11:50:48      -82.626420        1.8103
GPMin:    2 11:52:21      -82.882034        0.1555
GPMin:    3 11:53:17      -82.883597        0.0216
GPMin:    4 11:53:51      -82.883606        0.0142
GPMin:    5 12:00:34      -82.883594        0.0048
