       Step     Time          Energy         fmax
GPMin:    0 12:38:20      -81.664745        2.6580
GPMin:    1 12:40:13      -82.673846        1.4675
GPMin:    2 12:41:49      -83.017587        0.7212
GPMin:    3 12:43:25      -83.176088        0.3045
GPMin:    4 12:46:35      -83.188998        0.3293
GPMin:    5 12:47:38      -83.200022        0.0648
GPMin:    6 12:48:35      -83.201274        0.0301
GPMin:    7 12:52:13      -83.201638        0.0401
GPMin:    8 12:56:49      -83.202296        0.0161
GPMin:    9 12:57:29      -83.202307        0.0192
GPMin:   10 12:58:04      -83.202370        0.0163
GPMin:   11 13:00:23      -83.202426        0.0059
