       Step     Time          Energy         fmax
GPMin:    0 18:17:16      -81.634987        2.5666
GPMin:    1 18:18:58      -82.545235        1.6486
GPMin:    2 18:20:40      -82.741222        0.3635
GPMin:    3 18:21:45      -82.747941        0.0150
       Step     Time          Energy         fmax
GPMin:    0 12:03:09      -81.634987        2.5666
GPMin:    1 12:04:53      -82.545235        1.6486
GPMin:    2 12:06:37      -82.741222        0.3635
GPMin:    3 12:07:43      -82.747941        0.0150
GPMin:    4 12:08:18      -82.748006        0.0144
GPMin:    5 12:12:20      -82.748038        0.0064
