       Step     Time          Energy         fmax
GPMin:    0 10:03:41     -177.422617        2.7769
GPMin:    1 10:16:34     -177.629856        3.2179
GPMin:    2 10:36:29     -177.741209        0.9980
GPMin:    3 10:49:23     -177.751814        0.8748
GPMin:    4 10:54:58     -177.760118        0.1483
GPMin:    5 11:04:41     -177.766719        0.1457
GPMin:    6 11:15:22     -177.772205        0.0723
GPMin:    7 11:21:06     -177.772912        0.0499
GPMin:    8 11:22:04     -177.773668        0.0336
GPMin:    9 11:32:37     -177.774007        0.0259
GPMin:   10 11:34:33     -177.774601        0.0495
GPMin:   11 11:58:22     -177.774124        0.0086
