       Step     Time          Energy         fmax
GPMin:    0 19:26:38     -165.224935        3.4793
GPMin:    1 19:29:32     -166.494072        2.0871
GPMin:    2 19:32:35     -166.725577        0.4724
GPMin:    3 19:34:30     -166.738047        0.3128
GPMin:    4 19:36:50     -166.836024        0.8864
GPMin:    5 19:39:27     -167.052866        0.9439
GPMin:    6 19:42:12     -167.216524        0.2606
GPMin:    7 19:43:33     -167.218132        0.1123
GPMin:    8 19:45:41     -167.218038        0.0160
       Step     Time          Energy         fmax
GPMin:    0 13:24:07     -165.224935        3.4793
GPMin:    1 13:27:11     -166.494072        2.0871
GPMin:    2 13:30:23     -166.725577        0.4724
GPMin:    3 13:32:24     -166.738047        0.3128
GPMin:    4 13:34:51     -166.836024        0.8864
GPMin:    5 13:37:35     -167.052866        0.9439
GPMin:    6 13:40:27     -167.216524        0.2606
GPMin:    7 13:41:50     -167.218132        0.1123
GPMin:    8 13:50:30     -167.218068        0.0091
