       Step     Time          Energy         fmax
GPMin:    0 19:49:13     -165.178691        3.5371
GPMin:    1 19:51:48     -166.592957        2.9216
GPMin:    2 19:54:22     -167.178617        0.8515
GPMin:    3 19:56:19     -167.214626        0.2015
GPMin:    4 19:57:45     -167.218169        0.0258
       Step     Time          Energy         fmax
GPMin:    0 13:54:10     -165.178691        3.5371
GPMin:    1 13:56:50     -166.592957        2.9216
GPMin:    2 13:59:29     -167.178617        0.8515
GPMin:    3 14:01:30     -167.214626        0.2015
GPMin:    4 14:02:59     -167.218169        0.0258
GPMin:    5 14:04:23     -167.217864        0.0021
