       Step     Time          Energy         fmax
GPMin:    0 11:59:21     -165.178691        3.5371
       Step     Time          Energy         fmax
GPMin:    0 11:59:38     -165.178691        3.5371
GPMin:    1 12:01:09     -166.708683        2.7118
GPMin:    1 12:01:30     -166.708683        2.7118
GPMin:    2 12:02:46     -167.234929        0.7172
GPMin:    2 12:03:11     -167.234929        0.7172
GPMin:    3 12:04:15     -167.347567        0.8854
GPMin:    3 12:04:44     -167.347567        0.8854
GPMin:    4 12:05:47     -167.417713        0.3318
GPMin:    4 12:06:21     -167.417713        0.3318
GPMin:    5 12:07:05     -167.435545        0.2549
GPMin:    5 12:07:42     -167.435545        0.2549
GPMin:    6 12:08:13     -167.440401        0.1341
GPMin:    6 12:08:52     -167.440401        0.1341
GPMin:    7 12:09:11     -167.442474        0.0473
GPMin:    7 12:09:53     -167.442474        0.0473
GPMin:    8 12:11:18     -167.442474        0.0347
GPMin:    8 12:12:06     -167.442474        0.0347
GPMin:    9 12:19:57     -167.442507        0.0203
GPMin:    9 12:21:00     -167.442507        0.0203
GPMin:   10 12:22:04     -167.442516        0.0096
GPMin:   10 12:23:10     -167.442516        0.0096
