       Step     Time          Energy         fmax
GPMin:    0 20:01:17     -165.100722        3.3089
GPMin:    1 20:03:59     -166.376934        2.4997
GPMin:    2 20:06:18     -166.816712        0.5077
GPMin:    3 20:08:07     -166.830375        0.0132
       Step     Time          Energy         fmax
GPMin:    0 14:08:03     -165.100722        3.3089
GPMin:    1 14:10:50     -166.376934        2.4997
GPMin:    2 14:13:14     -166.816712        0.5077
GPMin:    3 14:15:06     -166.830375        0.0132
GPMin:    4 14:15:48     -166.830484        0.0943
GPMin:    5 14:26:01     -166.830751        0.0303
GPMin:    6 14:26:58     -166.830755        0.0046
