       Step     Time          Energy         fmax
GPMin:    0 20:22:39     -197.880442        2.9550
GPMin:    1 20:28:43     -197.921037        1.1604
GPMin:    2 20:30:14     -197.931489        0.0946
       Step     Time          Energy         fmax
GPMin:    0 14:42:49     -197.880442        2.9550
GPMin:    1 14:49:05     -197.921037        1.1604
GPMin:    2 14:50:39     -197.931489        0.0946
GPMin:    3 14:51:28     -197.931558        0.0728
GPMin:    4 15:04:24     -197.933262        0.0740
GPMin:    5 15:08:55     -197.934692        0.0741
GPMin:    6 15:23:27     -197.934542        0.0037
