       Step     Time          Energy         fmax
GPMin:    0 11:58:51     -198.549120        2.3701
GPMin:    1 12:07:03     -199.007051        3.4682
GPMin:    2 12:11:19     -199.041765        0.4610
GPMin:    3 12:15:44     -199.069140        0.9868
GPMin:    4 12:16:52     -199.088464        0.0789
GPMin:    5 12:17:43     -199.092542        0.1115
GPMin:    6 12:18:28     -199.093925        0.0758
GPMin:    7 12:22:40     -199.094443        0.0545
GPMin:    8 12:27:43     -199.095320        0.0410
GPMin:    9 12:45:13     -199.094693        0.0092
