       Step     Time          Energy         fmax
GPMin:    0 12:58:21     -187.032073        3.9466
GPMin:    1 13:00:05     -188.630692        2.6956
GPMin:    2 13:01:45     -189.056478        0.8588
GPMin:    3 13:03:16     -189.163761        0.7762
GPMin:    4 13:04:26     -189.192685        0.2254
GPMin:    5 13:05:22     -189.198195        0.0580
GPMin:    6 13:06:10     -189.199450        0.0288
GPMin:    7 13:06:50     -189.199982        0.0213
GPMin:    8 13:07:25     -189.200343        0.0168
GPMin:    9 13:08:23     -189.200372        0.0070
