Temperature,Reaction rate Au [mol / (m2 s)],Reaction rate Pt [mol / (m2 s)],Reaction rate Rh [mol / (m2 s)]
100.0,8.483970011012268e-37,5.648442036775825e-53,7.564304607133225e-72
101.90190190190191,1.8530328976271522e-36,1.0640156018337958e-51,1.5225497838085736e-70
103.8038038038038,3.9330942630866954e-36,1.7998872327495293e-50,2.74534696686164e-69
105.70570570570571,8.12500971283448e-36,2.7500621218417497e-49,4.4609266479450185e-68
107.6076076076076,1.635970144864736e-35,3.815779344824256e-48,6.568278636610409e-67
109.50950950950951,3.214912291660232e-35,4.832238517402913e-47,8.808597177903499e-66
111.41141141141141,6.173704620083537e-35,5.611380777612188e-46,1.0811063136828529e-64
113.31331331331332,1.1598716106866738e-34,6.001265946639578e-45,1.2197611802522926e-63
115.21521521521521,2.1341868083436066e-34,5.935237352052712e-44,1.2703876299133097e-62
117.11711711711712,3.849939196489464e-34,5.44892372407069e-43,1.2261552241721134e-61
119.01901901901903,6.815324951766124e-34,4.660261755572377e-42,1.1007454624052935e-60
120.92092092092092,1.1849960743916304e-33,3.7255369560122407e-41,9.222431292887519e-60
122.82282282282281,2.0253839264635675e-33,2.7925986417015196e-40,7.2345892119894734e-59
124.72472472472472,3.405636238130123e-33,1.96855823030837e-39,5.329667806030303e-58
126.62662662662663,5.637797985203563e-33,1.308610125791472e-38,3.6977158667774235e-57
128.52852852852854,9.194795611956659e-33,8.224804129771303e-38,2.422538108365388e-56
130.43043043043042,1.478357194166293e-32,4.899583508015684e-37,1.5024515539041092e-55
132.33233233233233,2.3447067079536963e-32,2.7727765619122565e-36,8.84198145290713e-55
134.23423423423424,3.6704684894932365e-32,1.4939621312484666e-35,4.948644924975772e-54
136.13613613613614,5.674351043950796e-32,7.679399612788322e-35,2.6395187789372434e-53
138.03803803803805,8.667571098790794e-32,3.773310723672892e-34,1.3444009214526674e-52
139.93993993993993,1.3088133184121655e-31,1.7755143827985457e-33,6.551115906496872e-52
141.84184184184184,1.9546015769576243e-31,8.01471238652682e-33,3.059547810287891e-51
143.74374374374375,2.88821520241989e-31,3.4763982752897293e-32,1.371787411730944e-50
145.64564564564563,4.2244695885352185e-31,1.4511996259329485e-31,5.914225481439102e-50
147.54754754754754,6.1186754516278274e-31,5.838804302289921e-31,2.4555486854241372e-49
149.44944944944945,8.779055187556982e-31,2.267409372261607e-30,9.832488253914445e-49
151.35135135135135,1.2482386963460471e-30,8.50989843868884e-30,3.802206968278863e-48
153.25325325325326,1.7593559463701492e-30,3.0907029116132325e-29,1.421769741388322e-47
155.15515515515517,2.458982888556746e-30,1.087554744724215e-28,5.147307351441965e-47
157.05705705705705,3.409068893496607e-30,3.7119534820163283e-28,1.806335471215058e-46
158.95895895895896,4.6894394152560934e-30,1.230221633956856e-27,6.151342852687119e-46
160.86086086086087,6.402231669109402e-30,3.963164393425048e-27,2.0349673162149086e-45
162.76276276276275,8.677246627920706e-30,1.2422378327491062e-26,6.546392817902065e-45
164.66466466466466,1.1678366198460373e-29,3.792065872127848e-26,2.0498616948494834e-44
166.56656656656656,1.5611201179160674e-29,1.128337893503408e-25,6.253547779575977e-44
168.46846846846847,2.0732153102174663e-29,3.2753532058130484e-25,1.8603352083490792e-43
170.37037037037038,2.735909121677375e-29,9.282744781374711e-25,5.401135163912994e-43
172.2722722722723,3.588386455368884e-29,2.5705021697054857e-24,1.5316449515555255e-42
174.17417417417417,4.678688808159725e-29,6.959646539839476e-24,4.2456598669191295e-42
176.07607607607608,6.065406127478698e-29,1.8436078162441763e-23,1.1512421513200608e-41
177.97797797797796,7.819629679051006e-29,4.781082928614509e-23,3.055830170249763e-41
